Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.8370,2.7230,2.7070,2.9410,2.6420,2025-03-12
1 Brunei Dollar,3.3650,3.2680,3.2600,3.4440,3.2450,2025-03-12
1 Canadian Dollar,3.1030,3.0190,3.0070,3.1700,2.9090,2025-03-12
1 Euro,4.8980,4.7400,4.7200,4.9050,4.5810,2025-03-12
1 New Zealand Dollar,2.5710,2.4760,2.4600,2.7770,2.3730,2025-03-12
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-03-12
1 Singapore Dollar,3.3650,3.2680,3.2600,3.4440,3.2450,2025-03-12
1 Sterling Pound,5.8200,5.6360,5.6160,5.9020,5.4320,2025-03-12
1 Swiss Franc,5.1210,4.9030,4.8880,5.1140,4.6790,2025-03-12
100 Bangladesh Taka,3.7660,3.5070,3.3070,N/A,N/A,2025-03-12
100 Danish Krone,67.3100,61.9500,61.7500,N/A,N/A,2025-03-12
100 Hongkong Dollar,58.3000,55.4000,55.2000,58.4100,50.5600,2025-03-12
100 Indian Rupee,5.2300,4.9100,4.7100,N/A,N/A,2025-03-12
100 Indonesian Rupiah,0.0283,0.0256,0.0206,0.0305,0.0230,2025-03-12
100 Japanese Yen,3.0320,2.9350,2.9250,3.1500,2.7700,2025-03-12
100 Norwegian Krone,43.1700,39.7100,39.5100,44.6100,28.6800,2025-03-12
100 Pakistan Rupee,1.6300,1.5300,1.3300,2.4300,1.4000,2025-03-12
100 Philippine Peso,7.9500,7.4900,7.2900,7.9600,7.4800,2025-03-12
100 Saudi Riyal,120.8500,114.7300,114.5300,119.8600,103.9000,2025-03-12
100 South Africa Rand,25.4700,23.0100,22.8100,33.2900,22.6700,2025-03-12
100 Sri Lanka Rupee,1.5600,1.4400,1.2400,1.5200,0.7200,2025-03-12
100 Swedish Krona,46.1700,42.0300,41.8300,N/A,N/A,2025-03-12
100 Thai Baht,13.8800,12.3100,11.9100,13.7900,11.6700,2025-03-12
1 US Dollar,4.4925,4.3585,4.3485,4.5800,4.3250,2025-03-12
100 UAE Dirham,123.4700,117.0900,116.8900,123.1200,115.9400,2025-03-12
100 Qatar Riyal,124.3500,118.0400,117.8400,N/A,N/A,2025-03-12
100 New Taiwan Dollar,14.7000,N/A,N/A,14.1600,12.5700,2025-03-12
100 Chinese Renminbi,62.4300,59.7900,N/A,N/A,N/A,2025-03-12
