Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.8670,2.7520,2.7360,2.9410,2.6740,2025-02-12
1 Brunei Dollar,3.3380,3.2420,3.2340,3.4440,3.2300,2025-02-12
1 Canadian Dollar,3.1600,3.0770,3.0650,3.1980,2.9720,2025-02-12
1 Euro,4.6900,4.5400,4.5200,4.7110,4.3990,2025-02-12
1 New Zealand Dollar,2.5720,2.4780,2.4620,2.7770,2.3770,2025-02-12
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-02-12
1 Singapore Dollar,3.3380,3.2420,3.2340,3.4440,3.2300,2025-02-12
1 Sterling Pound,5.6360,5.4590,5.4390,5.7450,5.2860,2025-02-12
1 Swiss Franc,4.9850,4.7740,4.7590,5.0060,4.5790,2025-02-12
100 Bangladesh Taka,3.7960,3.5360,3.3360,N/A,N/A,2025-02-12
100 Danish Krone,64.4600,59.3400,59.1400,N/A,N/A,2025-02-12
100 Hongkong Dollar,58.6100,55.7100,55.5100,58.9400,50.5600,2025-02-12
100 Indian Rupee,5.3000,4.9800,4.7800,N/A,N/A,2025-02-12
100 Indonesian Rupiah,0.0286,0.0259,0.0209,0.0305,0.0230,2025-02-12
100 Japanese Yen,2.9490,2.8550,2.8450,3.1500,2.7100,2025-02-12
100 Norwegian Krone,41.4400,38.1400,37.9400,44.6100,28.6800,2025-02-12
100 Pakistan Rupee,1.6500,1.5400,1.3400,2.4300,1.4000,2025-02-12
100 Philippine Peso,7.8800,7.4300,7.2300,7.9200,7.4400,2025-02-12
100 Saudi Riyal,121.8400,115.6700,115.4700,121.2700,103.9000,2025-02-12
100 South Africa Rand,25.3100,22.8700,22.6700,33.2900,22.5900,2025-02-12
100 Sri Lanka Rupee,1.5600,1.4400,1.2400,1.5300,0.7200,2025-02-12
100 Swedish Krona,42.9600,39.1400,38.9400,N/A,N/A,2025-02-12
100 Thai Baht,13.8600,12.3000,11.9000,13.8100,11.6800,2025-02-12
1 US Dollar,4.5185,4.3855,4.3755,4.5800,4.3760,2025-02-12
100 UAE Dirham,124.4600,118.0500,117.8500,124.5700,115.9400,2025-02-12
100 Qatar Riyal,125.3300,118.9800,118.7800,N/A,N/A,2025-02-12
100 New Taiwan Dollar,14.8000,N/A,N/A,14.1600,12.7400,2025-02-12
100 Chinese Renminbi,62.2500,59.6400,N/A,N/A,N/A,2025-02-12
