Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9960,2.8760,2.8600,3.0030,2.7900,2024-08-19
1 BRUNEI DOLLAR,3.3880,3.2890,3.2810,3.4440,3.2670,2024-08-19
1 CANADIAN DOLLAR,3.2570,3.1690,3.1570,3.2860,3.0540,2024-08-19
1 EURO,4.9230,4.7630,4.7430,4.9310,4.6040,2024-08-19
1 NEW ZEALAND DOLLAR,2.7120,2.6120,2.5960,2.7770,2.5040,2024-08-19
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-08-19
1 SINGAPORE DOLLAR,3.3880,3.2890,3.2810,3.4440,3.2670,2024-08-19
1 POUND STERLING,5.7680,5.5880,5.5680,5.8770,5.4070,2024-08-19
1 SWISS FRANC,5.1660,4.9470,4.9320,5.1790,4.7380,2024-08-19
100 BANGLADESH TAKA,3.8740,3.6050,3.4050,N/A,N/A,2024-08-19
100 DANISH KRONER,67.6500,62.2200,62.0200,N/A,N/A,2024-08-19
100 HONGKONG DOLLAR,57.8200,54.9200,54.7200,57.9300,50.5600,2024-08-19
100 INDIAN RUPEE,5.4000,5.0700,4.8700,N/A,N/A,2024-08-19
100 INDONESIAN RUPIAH,0.0294,0.0266,0.0216,0.0305,0.0240,2024-08-19
100 JAPANESE YEN,3.0190,2.9220,2.9120,3.1500,2.7600,2024-08-19
100 NORWEGIAN KRONER,42.8700,39.4200,39.2200,44.6100,28.6800,2024-08-19
100 PAKISTAN RUPEE,1.6300,1.5200,1.3200,2.4300,1.4000,2024-08-19
100 PHILIPPINES PESO,7.9300,7.4700,7.2700,7.9300,7.4500,2024-08-19
100 SAUDI ARABIAN RIYAL,120.1900,114.1000,113.9000,119.2300,103.9000,2024-08-19
100 SOUTH AFRICAN RAND,25.8500,23.3500,23.1500,33.2900,23.0300,2024-08-19
100 SRI LANKA RUPEE,1.5300,1.4100,1.2100,1.5200,0.7200,2024-08-19
100 SWEDISH KRONER,44.0700,40.1200,39.9200,N/A,N/A,2024-08-19
100 THAILAND BAHT,13.4700,11.9500,11.5500,13.3800,11.3300,2024-08-19
1 US DOLLAR,4.4600,4.3240,4.3140,4.5800,4.3010,2024-08-19
100 ARAB EMIRATES DIRHAM,122.8200,116.4200,116.2200,122.4700,115.9400,2024-08-19
100 QATAR RIYAL,123.6300,117.3600,117.1600,N/A,N/A,2024-08-19
100 NEW TAIWAN DOLLAR,14.9000,N/A,N/A,14.1600,12.7800,2024-08-19
100 CHINESE RENMINBI,62.6600,59.9900,N/A,N/A,N/A,2024-08-19
