Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9390,2.8220,2.8060,2.9460,2.7370,2024-10-16
1 BRUNEI DOLLAR,3.3410,3.2430,3.2350,3.4440,3.2210,2024-10-16
1 CANADIAN DOLLAR,3.1710,3.0860,3.0740,3.1990,2.9730,2024-10-16
1 EURO,4.7700,4.6160,4.5960,4.7770,4.4620,2024-10-16
1 NEW ZEALAND DOLLAR,2.6580,2.5590,2.5430,2.7770,2.4530,2024-10-16
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-16
1 SINGAPORE DOLLAR,3.3410,3.2430,3.2350,3.4440,3.2210,2024-10-16
1 POUND STERLING,5.7150,5.5360,5.5160,5.8190,5.3550,2024-10-16
1 SWISS FRANC,5.1020,4.8870,4.8720,5.1150,4.6790,2024-10-16
100 BANGLADESH TAKA,3.7390,3.4810,3.2810,N/A,N/A,2024-10-16
100 DANISH KRONER,65.5400,60.3100,60.1100,N/A,N/A,2024-10-16
100 HONGKONG DOLLAR,56.9500,54.1200,53.9200,57.0700,50.5600,2024-10-16
100 INDIAN RUPEE,5.2900,4.9700,4.7700,N/A,N/A,2024-10-16
100 INDONESIAN RUPIAH,0.0291,0.0263,0.0213,0.0305,0.0240,2024-10-16
100 JAPANESE YEN,2.9400,2.8460,2.8360,3.1500,2.6900,2024-10-16
100 NORWEGIAN KRONER,41.4800,38.1600,37.9600,44.6100,28.6800,2024-10-16
100 PAKISTAN RUPEE,1.6000,1.5000,1.3000,2.4300,1.4000,2024-10-16
100 PHILIPPINES PESO,7.6900,7.2500,7.0500,7.7000,7.2300,2024-10-16
100 SAUDI ARABIAN RIYAL,117.8800,111.9100,111.7100,116.9100,103.9000,2024-10-16
100 SOUTH AFRICAN RAND,25.6500,23.1700,22.9700,33.2900,22.8600,2024-10-16
100 SRI LANKA RUPEE,1.5300,1.4100,1.2100,1.5200,0.7200,2024-10-16
100 SWEDISH KRONER,43.3400,39.4600,39.2600,N/A,N/A,2024-10-16
100 THAILAND BAHT,13.7100,12.1700,11.7700,13.6200,11.5300,2024-10-16
1 US DOLLAR,4.3790,4.2450,4.2350,4.5800,4.2220,2024-10-16
100 ARAB EMIRATES DIRHAM,120.5700,114.3200,114.1200,120.2300,113.9400,2024-10-16
100 QATAR RIYAL,121.3800,115.2300,115.0300,N/A,N/A,2024-10-16
100 NEW TAIWAN DOLLAR,14.6000,N/A,N/A,14.1600,12.5300,2024-10-16
100 CHINESE RENMINBI,61.8900,59.2800,N/A,N/A,N/A,2024-10-16
