Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.8620,2.7470,2.7310,2.9410,2.6640,2025-03-07
1 Brunei Dollar,3.3750,3.2780,3.2700,3.4440,3.2490,2025-03-07
1 Canadian Dollar,3.1450,3.0610,3.0490,3.1700,2.9430,2025-03-07
1 Euro,4.8630,4.7070,4.6870,4.8610,4.5390,2025-03-07
1 New Zealand Dollar,2.5920,2.4960,2.4800,2.7770,2.3890,2025-03-07
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-03-07
1 Singapore Dollar,3.3750,3.2780,3.2700,3.4440,3.2490,2025-03-07
1 Sterling Pound,5.8070,5.6250,5.6050,5.8910,5.4200,2025-03-07
1 Swiss Franc,5.1350,4.9170,4.9020,5.1300,4.6940,2025-03-07
100 Bangladesh Taka,3.7830,3.5230,3.3230,N/A,N/A,2025-03-07
100 Danish Krone,66.8300,61.5000,61.3000,N/A,N/A,2025-03-07
100 Hongkong Dollar,58.5400,55.6300,55.4300,58.5200,50.5600,2025-03-07
100 Indian Rupee,5.2600,4.9400,4.7400,N/A,N/A,2025-03-07
100 Indonesian Rupiah,0.0285,0.0258,0.0208,0.0305,0.0230,2025-03-07
100 Japanese Yen,3.0470,2.9490,2.9390,3.1500,2.7800,2025-03-07
100 Norwegian Krone,42.4900,39.0800,38.8800,44.6100,28.6800,2025-03-07
100 Pakistan Rupee,1.6400,1.5400,1.3400,2.4300,1.4000,2025-03-07
100 Philippine Peso,7.9600,7.5000,7.3000,7.9500,7.4700,2025-03-07
100 Saudi Riyal,121.3800,115.2200,115.0200,120.1100,103.9000,2025-03-07
100 South Africa Rand,25.7300,23.2300,23.0300,33.2900,22.8300,2025-03-07
100 Sri Lanka Rupee,1.5600,1.4400,1.2400,1.5200,0.7200,2025-03-07
100 Swedish Krona,45.6800,41.6100,41.4100,N/A,N/A,2025-03-07
100 Thai Baht,13.9100,12.3300,11.9300,13.8200,11.6900,2025-03-07
1 US Dollar,4.5030,4.3690,4.3590,4.5800,4.3330,2025-03-07
100 UAE Dirham,124.0400,117.6100,117.4100,123.3800,115.9400,2025-03-07
100 Qatar Riyal,124.9200,118.5800,118.3800,N/A,N/A,2025-03-07
100 New Taiwan Dollar,14.7000,N/A,N/A,14.1600,12.6000,2025-03-07
100 Chinese Renminbi,62.5000,59.8700,N/A,N/A,N/A,2025-03-07
