Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9450,2.8260,2.8100,2.9510,2.7420,2024-11-04
1 BRUNEI DOLLAR,3.3600,3.2610,3.2530,3.4440,3.2390,2024-11-04
1 CANADIAN DOLLAR,3.1890,3.1020,3.0900,3.2170,2.9890,2024-11-04
1 EURO,4.8370,4.6800,4.6600,4.8450,4.5240,2024-11-04
1 NEW ZEALAND DOLLAR,2.6700,2.5710,2.5550,2.7770,2.4650,2024-11-04
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-11-04
1 SINGAPORE DOLLAR,3.3600,3.2610,3.2530,3.4440,3.2390,2024-11-04
1 POUND STERLING,5.7640,5.5810,5.5610,5.8590,5.3910,2024-11-04
1 SWISS FRANC,5.1580,4.9380,4.9230,5.1630,4.7230,2024-11-04
100 BANGLADESH TAKA,3.7950,3.5320,3.3320,N/A,N/A,2024-11-04
100 DANISH KRONER,66.4900,61.1600,60.9600,N/A,N/A,2024-11-04
100 HONGKONG DOLLAR,57.7400,54.8500,54.6500,57.8600,50.5600,2024-11-04
100 INDIAN RUPEE,5.3700,5.0400,4.8400,N/A,N/A,2024-11-04
100 INDONESIAN RUPIAH,0.0292,0.0265,0.0215,0.0305,0.0240,2024-11-04
100 JAPANESE YEN,2.9250,2.8300,2.8200,3.1500,2.6700,2024-11-04
100 NORWEGIAN KRONER,41.5100,38.1300,37.9300,44.6100,28.6800,2024-11-04
100 PAKISTAN RUPEE,1.6300,1.5200,1.3200,2.4300,1.4000,2024-11-04
100 PHILIPPINES PESO,7.7100,7.2600,7.0600,7.7200,7.2500,2024-11-04
100 SAUDI ARABIAN RIYAL,119.5900,113.5200,113.3200,118.6300,103.9000,2024-11-04
100 SOUTH AFRICAN RAND,26.2200,23.6700,23.4700,33.2900,23.1000,2024-11-04
100 SRI LANKA RUPEE,1.5600,1.4300,1.2300,1.5200,0.7200,2024-11-04
100 SWEDISH KRONER,42.8900,39.0300,38.8300,N/A,N/A,2024-11-04
100 THAILAND BAHT,13.7000,12.1500,11.7500,13.6100,11.5100,2024-11-04
1 US DOLLAR,4.4440,4.3080,4.2980,4.5800,4.2850,2024-11-04
100 ARAB EMIRATES DIRHAM,122.3700,116.0000,115.8000,122.0300,115.6300,2024-11-04
100 QATAR RIYAL,123.2000,116.9600,116.7600,N/A,N/A,2024-11-04
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,14.1600,12.7800,2024-11-04
100 CHINESE RENMINBI,62.8100,60.1200,N/A,N/A,N/A,2024-11-04
