Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9530,2.8320,2.8160,2.9600,2.7490,2024-10-14
1 BRUNEI DOLLAR,3.3380,3.2390,3.2310,3.4440,3.2180,2024-10-14
1 CANADIAN DOLLAR,3.1610,3.0740,3.0620,3.1890,2.9630,2024-10-14
1 EURO,4.7690,4.6110,4.5910,4.7760,4.4590,2024-10-14
1 NEW ZEALAND DOLLAR,2.6690,2.5690,2.5530,2.7770,2.4630,2024-10-14
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-14
1 SINGAPORE DOLLAR,3.3380,3.2390,3.2310,3.4440,3.2180,2024-10-14
1 POUND STERLING,5.6980,5.5130,5.4930,5.7910,5.3270,2024-10-14
1 SWISS FRANC,5.1170,4.8970,4.8820,5.1220,4.6850,2024-10-14
100 BANGLADESH TAKA,3.7260,3.4660,3.2660,N/A,N/A,2024-10-14
100 DANISH KRONER,65.5300,60.2500,60.0500,N/A,N/A,2024-10-14
100 HONGKONG DOLLAR,56.7200,53.8400,53.6400,56.8300,50.5600,2024-10-14
100 INDIAN RUPEE,5.2700,4.9500,4.7500,N/A,N/A,2024-10-14
100 INDONESIAN RUPIAH,0.0290,0.0262,0.0212,0.0305,0.0230,2024-10-14
100 JAPANESE YEN,2.9280,2.8310,2.8210,3.1500,2.6800,2024-10-14
100 NORWEGIAN KRONER,41.7100,38.3200,38.1200,44.6100,28.6800,2024-10-14
100 PAKISTAN RUPEE,1.6000,1.4900,1.2900,2.4300,1.4000,2024-10-14
100 PHILIPPINES PESO,7.7300,7.2800,7.0800,7.7400,7.2600,2024-10-14
100 SAUDI ARABIAN RIYAL,117.4000,111.4500,111.2500,116.5000,103.9000,2024-10-14
100 SOUTH AFRICAN RAND,25.9100,23.3900,23.1900,33.2900,23.0400,2024-10-14
100 SRI LANKA RUPEE,1.5300,1.4000,1.2000,1.5200,0.7200,2024-10-14
100 SWEDISH KRONER,43.3000,39.4000,39.2000,N/A,N/A,2024-10-14
100 THAILAND BAHT,13.7100,12.1500,11.7500,13.6200,11.5200,2024-10-14
1 US DOLLAR,4.3640,4.2260,4.2160,4.5800,4.2050,2024-10-14
100 ARAB EMIRATES DIRHAM,120.1400,113.8200,113.6200,119.8000,113.4900,2024-10-14
100 QATAR RIYAL,120.9100,114.7800,114.5800,N/A,N/A,2024-10-14
100 NEW TAIWAN DOLLAR,14.6000,N/A,N/A,14.1600,12.5000,2024-10-14
100 CHINESE RENMINBI,62.1400,59.4600,N/A,N/A,N/A,2024-10-14
