Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9360,2.8170,2.8010,2.9420,2.7340,2024-10-17
1 BRUNEI DOLLAR,3.3250,3.2280,3.2200,3.4440,3.2060,2024-10-17
1 CANADIAN DOLLAR,3.1710,3.0850,3.0730,3.1990,2.9720,2024-10-17
1 EURO,4.7490,4.5940,4.5740,4.7560,4.4410,2024-10-17
1 NEW ZEALAND DOLLAR,2.6570,2.5590,2.5430,2.7770,2.4530,2024-10-17
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-17
1 SINGAPORE DOLLAR,3.3250,3.2280,3.2200,3.4440,3.2060,2024-10-17
1 POUND STERLING,5.6800,5.4990,5.4790,5.7730,5.3120,2024-10-17
1 SWISS FRANC,5.0770,4.8600,4.8450,5.0820,4.6490,2024-10-17
100 BANGLADESH TAKA,3.7300,3.4710,3.2710,N/A,N/A,2024-10-17
100 DANISH KRONER,65.2500,60.0200,59.8200,N/A,N/A,2024-10-17
100 HONGKONG DOLLAR,56.7800,53.9300,53.7300,56.9000,50.5600,2024-10-17
100 INDIAN RUPEE,5.2800,4.9600,4.7600,N/A,N/A,2024-10-17
100 INDONESIAN RUPIAH,0.0291,0.0263,0.0213,0.0305,0.0240,2024-10-17
100 JAPANESE YEN,2.9230,2.8280,2.8180,3.1500,2.6700,2024-10-17
100 NORWEGIAN KRONER,41.1100,37.7900,37.5900,44.6100,28.6800,2024-10-17
100 PAKISTAN RUPEE,1.6000,1.5000,1.3000,2.4300,1.4000,2024-10-17
100 PHILIPPINES PESO,7.6700,7.2200,7.0200,7.6800,7.2100,2024-10-17
100 SAUDI ARABIAN RIYAL,117.5100,111.5500,111.3500,116.5800,103.9000,2024-10-17
100 SOUTH AFRICAN RAND,25.6700,23.1700,22.9700,33.2900,22.8300,2024-10-17
100 SRI LANKA RUPEE,1.5300,1.4100,1.2100,1.5200,0.7200,2024-10-17
100 SWEDISH KRONER,42.8800,39.0300,38.8300,N/A,N/A,2024-10-17
100 THAILAND BAHT,13.7400,12.1800,11.7800,13.6500,11.5500,2024-10-17
1 US DOLLAR,4.3680,4.2320,4.2220,4.5800,4.2100,2024-10-17
100 ARAB EMIRATES DIRHAM,120.2500,113.9800,113.7800,119.9100,113.6200,2024-10-17
100 QATAR RIYAL,121.0500,114.9100,114.7100,N/A,N/A,2024-10-17
100 NEW TAIWAN DOLLAR,14.6000,N/A,N/A,14.1600,12.5200,2024-10-17
100 CHINESE RENMINBI,61.7400,59.1100,N/A,N/A,N/A,2024-10-17
