Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.8490,2.7350,2.7190,2.9410,2.6530,2025-01-24
1 Brunei Dollar,3.3210,3.2250,3.2170,3.4440,3.2050,2025-01-24
1 Canadian Dollar,3.1270,3.0430,3.0310,3.1700,2.9370,2025-01-24
1 Euro,4.6930,4.5420,4.5220,4.7110,4.3990,2025-01-24
1 New Zealand Dollar,2.5700,2.4750,2.4590,2.7770,2.3710,2025-01-24
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-01-24
1 Singapore Dollar,3.3210,3.2250,3.2170,3.4440,3.2050,2025-01-24
1 Sterling Pound,5.5680,5.3920,5.3720,5.6700,5.2170,2025-01-24
1 Swiss Franc,4.9880,4.7770,4.7620,5.0100,4.5830,2025-01-24
100 Bangladesh Taka,3.7410,3.5100,3.3100,N/A,N/A,2025-01-24
100 Danish Krone,64.4700,59.3400,59.1400,N/A,N/A,2025-01-24
100 Hongkong Dollar,58.2100,55.3300,55.1300,58.6200,50.5600,2025-01-24
100 Indian Rupee,5.2800,4.9600,4.7600,N/A,N/A,2025-01-24
100 Indonesian Rupiah,0.0286,0.0259,0.0209,0.0305,0.0230,2025-01-24
100 Japanese Yen,2.8790,2.7880,2.7780,3.1500,2.6400,2025-01-24
100 Norwegian Krone,41.0100,37.7300,37.5300,44.6100,28.6800,2025-01-24
100 Pakistan Rupee,1.6400,1.5300,1.3300,2.4300,1.4000,2025-01-24
100 Philippine Peso,7.7900,7.3400,7.1400,7.8100,7.3300,2025-01-24
100 Saudi Riyal,120.9300,114.8000,114.6000,120.5400,103.9000,2025-01-24
100 South Africa Rand,25.2300,22.8000,22.6000,33.2900,22.4700,2025-01-24
100 Sri Lanka Rupee,1.5400,1.4200,1.2200,1.5200,0.7200,2025-01-24
100 Swedish Krona,42.2000,38.4500,38.2500,N/A,N/A,2025-01-24
100 Thai Baht,13.8600,12.3000,11.9000,13.7800,11.6600,2025-01-24
1 US Dollar,4.4860,4.3530,4.3430,4.5800,4.3500,2025-01-24
100 UAE Dirham,123.5400,117.1900,116.9900,123.8400,115.9400,2025-01-24
100 Qatar Riyal,124.4100,118.1000,117.9000,N/A,N/A,2025-01-24
100 New Taiwan Dollar,14.8000,N/A,N/A,14.1600,12.7100,2025-01-24
100 Chinese Renminbi,62.2200,59.6100,N/A,N/A,N/A,2025-01-24
