Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.8700,2.7510,2.7350,2.9410,2.6710,2024-12-20
1 BRUNEI DOLLAR,3.3610,3.2600,3.2520,3.4440,3.2400,2024-12-20
1 CANADIAN DOLLAR,3.1740,3.0870,3.0750,3.2030,2.9750,2024-12-20
1 EURO,4.7530,4.5950,4.5750,4.7600,4.4430,2024-12-20
1 NEW ZEALAND DOLLAR,2.5850,2.4870,2.4710,2.7770,2.3850,2024-12-20
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-12-20
1 SINGAPORE DOLLAR,3.3610,3.2600,3.2520,3.4440,3.2400,2024-12-20
1 POUND STERLING,5.7290,5.5430,5.5230,5.8230,5.3560,2024-12-20
1 SWISS FRANC,5.1310,4.9090,4.8940,5.1360,4.6970,2024-12-20
100 BANGLADESH TAKA,3.9110,3.6390,3.4390,N/A,N/A,2024-12-20
100 DANISH KRONER,65.3200,60.0600,59.8600,N/A,N/A,2024-12-20
100 HONGKONG DOLLAR,59.5500,56.5500,56.3500,59.6700,50.5600,2024-12-20
100 INDIAN RUPEE,5.4700,5.1300,4.9300,N/A,N/A,2024-12-20
100 INDONESIAN RUPIAH,0.0291,0.0263,0.0213,0.0305,0.0240,2024-12-20
100 JAPANESE YEN,2.9060,2.8100,2.8000,3.1500,2.6600,2024-12-20
100 NORWEGIAN KRONER,41.0400,37.7100,37.5100,44.6100,28.6800,2024-12-20
100 PAKISTAN RUPEE,1.6700,1.5700,1.3700,2.4300,1.4000,2024-12-20
100 PHILIPPINES PESO,7.8600,7.4000,7.2000,7.8700,7.3900,2024-12-20
100 SAUDI ARABIAN RIYAL,123.1400,116.9000,116.7000,122.2200,103.9000,2024-12-20
100 SOUTH AFRICAN RAND,25.7700,23.2600,23.0600,33.2900,22.9200,2024-12-20
100 SRI LANKA RUPEE,1.6100,1.4800,1.2800,1.5700,0.7200,2024-12-20
100 SWEDISH KRONER,42.8300,38.9600,38.7600,N/A,N/A,2024-12-20
100 THAILAND BAHT,13.8200,12.2400,11.8400,13.7300,11.6100,2024-12-20
1 US DOLLAR,4.5780,4.4400,4.4300,4.6250,4.4170,2024-12-20
100 ARAB EMIRATES DIRHAM,126.1200,119.4900,119.2900,125.7700,115.9400,2024-12-20
100 QATAR RIYAL,126.9400,120.5100,120.3100,N/A,N/A,2024-12-20
100 NEW TAIWAN DOLLAR,15.1000,N/A,N/A,14.1600,12.7800,2024-12-20
100 CHINESE RENMINBI,63.1700,60.4600,N/A,N/A,N/A,2024-12-20
