Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9420,2.8210,2.8050,2.9480,2.7380,2024-11-05
1 BRUNEI DOLLAR,3.3660,3.2650,3.2570,3.4440,3.2440,2024-11-05
1 CANADIAN DOLLAR,3.1930,3.1050,3.0930,3.2210,2.9930,2024-11-05
1 EURO,4.8380,4.6790,4.6590,4.8450,4.5240,2024-11-05
1 NEW ZEALAND DOLLAR,2.6640,2.5640,2.5480,2.7770,2.4580,2024-11-05
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-11-05
1 SINGAPORE DOLLAR,3.3660,3.2650,3.2570,3.4440,3.2440,2024-11-05
1 POUND STERLING,5.7630,5.5760,5.5560,5.8580,5.3880,2024-11-05
1 SWISS FRANC,5.1790,4.9540,4.9390,5.1840,4.7410,2024-11-05
100 BANGLADESH TAKA,3.7950,3.5320,3.3320,N/A,N/A,2024-11-05
100 DANISH KRONER,66.5000,61.1500,60.9500,N/A,N/A,2024-11-05
100 HONGKONG DOLLAR,57.7700,54.8500,54.6500,57.8800,50.5600,2024-11-05
100 INDIAN RUPEE,5.3700,5.0400,4.8400,N/A,N/A,2024-11-05
100 INDONESIAN RUPIAH,0.0292,0.0264,0.0214,0.0305,0.0240,2024-11-05
100 JAPANESE YEN,2.9230,2.8270,2.8170,3.1500,2.6700,2024-11-05
100 NORWEGIAN KRONER,41.4500,38.1000,37.9000,44.6100,28.6800,2024-11-05
100 PAKISTAN RUPEE,1.6300,1.5200,1.3200,2.4300,1.4000,2024-11-05
100 PHILIPPINES PESO,7.7200,7.2700,7.0700,7.7300,7.2500,2024-11-05
100 SAUDI ARABIAN RIYAL,119.5700,113.5100,113.3100,118.6900,103.9000,2024-11-05
100 SOUTH AFRICAN RAND,26.3100,23.7500,23.5500,33.2900,23.1000,2024-11-05
100 SRI LANKA RUPEE,1.5600,1.4300,1.2300,1.5200,0.7200,2024-11-05
100 SWEDISH KRONER,42.7300,38.8900,38.6900,N/A,N/A,2024-11-05
100 THAILAND BAHT,13.7500,12.1800,11.7800,13.6600,11.5500,2024-11-05
1 US DOLLAR,4.4440,4.3070,4.2970,4.5800,4.2850,2024-11-05
100 ARAB EMIRATES DIRHAM,122.3800,115.9700,115.7700,122.0400,115.6200,2024-11-05
100 QATAR RIYAL,123.1900,116.9400,116.7400,N/A,N/A,2024-11-05
100 NEW TAIWAN DOLLAR,14.9000,N/A,N/A,14.1600,12.7800,2024-11-05
100 CHINESE RENMINBI,63.0000,60.3100,N/A,N/A,N/A,2024-11-05
