Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9580,2.8390,2.8230,2.9610,2.7490,2024-12-02
1 BRUNEI DOLLAR,3.3660,3.2680,3.2600,3.4440,3.2430,2024-12-02
1 CANADIAN DOLLAR,3.2210,3.1340,3.1220,3.2470,3.0160,2024-12-02
1 EURO,4.7710,4.6170,4.5970,4.7750,4.4570,2024-12-02
1 NEW ZEALAND DOLLAR,2.6800,2.5820,2.5660,2.7770,2.4700,2024-12-02
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-12-02
1 SINGAPORE DOLLAR,3.3660,3.2680,3.2600,3.4440,3.2430,2024-12-02
1 POUND STERLING,5.7480,5.5680,5.5480,5.8380,5.3680,2024-12-02
1 SWISS FRANC,5.1540,4.9340,4.9190,5.1580,4.7170,2024-12-02
100 BANGLADESH TAKA,3.8650,3.5990,3.3990,N/A,N/A,2024-12-02
100 DANISH KRONER,65.5700,60.3400,60.1400,N/A,N/A,2024-12-02
100 HONGKONG DOLLAR,58.7500,55.8300,55.6300,58.7900,50.5600,2024-12-02
100 INDIAN RUPEE,5.4400,5.1100,4.9100,N/A,N/A,2024-12-02
100 INDONESIAN RUPIAH,0.0295,0.0267,0.0217,0.0305,0.0240,2024-12-02
100 JAPANESE YEN,3.0100,2.9140,2.9040,3.1500,2.7600,2024-12-02
100 NORWEGIAN KRONER,41.8700,38.5100,38.3100,44.6100,28.6800,2024-12-02
100 PAKISTAN RUPEE,1.6600,1.5500,1.3500,2.4300,1.4000,2024-12-02
100 PHILIPPINES PESO,7.8100,7.3600,7.1600,7.8300,7.3500,2024-12-02
100 SAUDI ARABIAN RIYAL,121.7700,115.6000,115.4000,120.6000,103.9000,2024-12-02
100 SOUTH AFRICAN RAND,25.8500,23.3500,23.1500,33.2900,22.9600,2024-12-02
100 SRI LANKA RUPEE,1.6000,1.4700,1.2700,1.5600,0.7200,2024-12-02
100 SWEDISH KRONER,42.6500,38.8500,38.6500,N/A,N/A,2024-12-02
100 THAILAND BAHT,13.7200,12.1600,11.7600,13.6300,11.5200,2024-12-02
1 US DOLLAR,4.5240,4.3900,4.3800,4.5800,4.3560,2024-12-02
100 ARAB EMIRATES DIRHAM,124.6100,118.1800,117.9800,124.0900,115.9400,2024-12-02
100 QATAR RIYAL,125.4300,119.0700,118.8700,N/A,N/A,2024-12-02
100 NEW TAIWAN DOLLAR,15.0000,N/A,N/A,14.1600,12.7800,2024-12-02
100 CHINESE RENMINBI,62.7600,60.1200,N/A,N/A,N/A,2024-12-02
