Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.8470,2.7320,2.7160,2.9410,2.6510,2024-12-26
1 BRUNEI DOLLAR,3.3390,3.2410,3.2330,3.4440,3.2190,2024-12-26
1 CANADIAN DOLLAR,3.1570,3.0700,3.0580,3.1850,2.9590,2024-12-26
1 EURO,4.7240,4.5680,4.5480,4.7310,4.4170,2024-12-26
1 NEW ZEALAND DOLLAR,2.5740,2.4770,2.4610,2.7770,2.3750,2024-12-26
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-12-26
1 SINGAPORE DOLLAR,3.3390,3.2410,3.2330,3.4440,3.2190,2024-12-26
1 POUND STERLING,5.6980,5.5170,5.4970,5.7910,5.3290,2024-12-26
1 SWISS FRANC,5.0780,4.8590,4.8440,5.0830,4.6490,2024-12-26
100 BANGLADESH TAKA,3.8750,3.6070,3.4070,N/A,N/A,2024-12-26
100 DANISH KRONER,64.9000,59.7000,59.5000,N/A,N/A,2024-12-26
100 HONGKONG DOLLAR,59.0300,56.0700,55.8700,59.1500,50.5600,2024-12-26
100 INDIAN RUPEE,5.4100,5.0800,4.8800,N/A,N/A,2024-12-26
100 INDONESIAN RUPIAH,0.0290,0.0262,0.0212,0.0305,0.0230,2024-12-26
100 JAPANESE YEN,2.8880,2.7940,2.7840,3.1500,2.6400,2024-12-26
100 NORWEGIAN KRONER,41.0400,37.6800,37.4800,44.6100,28.6800,2024-12-26
100 PAKISTAN RUPEE,1.6600,1.5500,1.3500,2.4300,1.4000,2024-12-26
100 PHILIPPINES PESO,7.8500,7.3900,7.1900,7.8500,7.3800,2024-12-26
100 SAUDI ARABIAN RIYAL,122.1200,115.9300,115.7300,121.1700,103.9000,2024-12-26
100 SOUTH AFRICAN RAND,25.1400,22.6900,22.4900,33.2900,22.3500,2024-12-26
100 SRI LANKA RUPEE,1.5800,1.4500,1.2500,1.5400,0.7200,2024-12-26
100 SWEDISH KRONER,42.2800,38.4900,38.2900,N/A,N/A,2024-12-26
100 THAILAND BAHT,13.8700,12.2900,11.8900,13.7800,11.6600,2024-12-26
1 US DOLLAR,4.5360,4.4000,4.3900,4.5800,4.3760,2024-12-26
100 ARAB EMIRATES DIRHAM,124.9400,118.4400,118.2400,124.5900,115.9400,2024-12-26
100 QATAR RIYAL,125.7900,119.4200,119.2200,N/A,N/A,2024-12-26
100 NEW TAIWAN DOLLAR,14.9000,N/A,N/A,14.1600,12.7800,2024-12-26
100 CHINESE RENMINBI,62.5800,59.9100,N/A,N/A,N/A,2024-12-26
