Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.8410,2.7260,2.7100,2.9410,2.6450,2025-02-28
1 Brunei Dollar,3.3620,3.2650,3.2570,3.4440,3.2430,2025-02-28
1 Canadian Dollar,3.1350,3.0520,3.0400,3.1700,2.9400,2025-02-28
1 Euro,4.7210,4.5680,4.5480,4.7280,4.4150,2025-02-28
1 New Zealand Dollar,2.5600,2.4650,2.4490,2.7770,2.3630,2025-02-28
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-02-28
1 Singapore Dollar,3.3620,3.2650,3.2570,3.4440,3.2430,2025-02-28
1 Sterling Pound,5.7210,5.5390,5.5190,5.8150,5.3510,2025-02-28
1 Swiss Franc,5.0760,4.8600,4.8450,5.0810,4.6480,2025-02-28
100 Bangladesh Taka,3.8080,3.5460,3.3460,N/A,N/A,2025-02-28
100 Danish Krone,64.8700,59.7100,59.5100,N/A,N/A,2025-02-28
100 Hongkong Dollar,58.9000,55.9800,55.7800,59.0200,50.5600,2025-02-28
100 Indian Rupee,5.2800,4.9500,4.7500,N/A,N/A,2025-02-28
100 Indonesian Rupiah,0.0285,0.0258,0.0208,0.0305,0.0230,2025-02-28
100 Japanese Yen,3.0360,2.9390,2.9290,3.1500,2.7800,2025-02-28
100 Norwegian Krone,41.4100,38.0400,37.8400,44.6100,28.6800,2025-02-28
100 Pakistan Rupee,1.6500,1.5500,1.3500,2.4300,1.4000,2025-02-28
100 Philippine Peso,7.9300,7.4700,7.2700,7.9400,7.4500,2025-02-28
100 Saudi Riyal,122.1900,116.0000,115.8000,121.1800,103.9000,2025-02-28
100 South Africa Rand,25.4700,23.0000,22.8000,33.2900,22.6600,2025-02-28
100 Sri Lanka Rupee,1.5800,1.4500,1.2500,1.5400,0.7200,2025-02-28
100 Swedish Krona,43.5000,39.6000,39.4000,N/A,N/A,2025-02-28
100 Thai Baht,13.9000,12.3300,11.9300,13.8100,11.6900,2025-02-28
1 US Dollar,4.5320,4.3980,4.3880,4.5800,4.3730,2025-02-28
100 UAE Dirham,124.8400,118.3900,118.1900,124.4900,115.9400,2025-02-28
100 Qatar Riyal,125.7400,119.3700,119.1700,N/A,N/A,2025-02-28
100 New Taiwan Dollar,N/A,N/A,N/A,N/A,N/A,2025-02-28
100 Chinese Renminbi,62.6300,59.9800,N/A,N/A,N/A,2025-02-28
