Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9280,2.8100,2.7940,2.9410,2.7270,2024-10-01
1 BRUNEI DOLLAR,3.2770,3.1800,3.1720,3.4440,3.1590,2024-10-01
1 CANADIAN DOLLAR,3.1110,3.0260,3.0140,3.1700,2.9160,2024-10-01
1 EURO,4.6970,4.5430,4.5230,4.7040,4.3920,2024-10-01
1 NEW ZEALAND DOLLAR,2.6810,2.5820,2.5660,2.7770,2.4750,2024-10-01
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-01
1 SINGAPORE DOLLAR,3.2770,3.1800,3.1720,3.4440,3.1590,2024-10-01
1 POUND STERLING,5.6420,5.4610,5.4410,5.7340,5.2760,2024-10-01
1 SWISS FRANC,5.0150,4.8000,4.7850,5.0200,4.5920,2024-10-01
100 BANGLADESH TAKA,3.5990,3.3490,3.1490,N/A,N/A,2024-10-01
100 DANISH KRONER,64.5900,59.4000,59.2000,N/A,N/A,2024-10-01
100 HONGKONG DOLLAR,54.7800,52.0200,51.8200,54.8900,50.5600,2024-10-01
100 INDIAN RUPEE,5.1100,4.7900,4.5900,N/A,N/A,2024-10-01
100 INDONESIAN RUPIAH,0.0288,0.0260,0.0210,0.0305,0.0230,2024-10-01
100 JAPANESE YEN,2.9320,2.8360,2.8260,3.1500,2.6800,2024-10-01
100 NORWEGIAN KRONER,41.0000,37.6900,37.4900,44.6100,28.6800,2024-10-01
100 PAKISTAN RUPEE,1.5400,1.4500,1.2500,2.4300,1.3900,2024-10-01
100 PHILIPPINES PESO,7.6100,7.1700,6.9700,7.6200,7.1500,2024-10-01
100 SAUDI ARABIAN RIYAL,113.5200,107.7600,107.5600,113.7900,103.5600,2024-10-01
100 SOUTH AFRICAN RAND,25.2800,22.8200,22.6200,33.2900,22.4800,2024-10-01
100 SRI LANKA RUPEE,1.4600,1.3400,1.1400,1.5200,0.7200,2024-10-01
100 SWEDISH KRONER,42.7700,38.9200,38.7200,N/A,N/A,2024-10-01
100 THAILAND BAHT,13.5600,12.0200,11.6200,13.4700,11.3900,2024-10-01
1 US DOLLAR,4.2170,4.0810,4.0710,4.5800,4.0600,2024-10-01
100 ARAB EMIRATES DIRHAM,116.0400,109.9700,109.7700,115.7200,109.6300,2024-10-01
100 QATAR RIYAL,116.8300,110.9100,110.7100,N/A,N/A,2024-10-01
100 NEW TAIWAN DOLLAR,14.3000,N/A,N/A,14.1600,12.2200,2024-10-01
100 CHINESE RENMINBI,N/A,N/A,N/A,N/A,N/A,2024-10-01
