Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9800,2.8570,2.8410,2.9860,2.7740,2024-11-25
1 BRUNEI DOLLAR,3.3710,3.2700,3.2620,3.4440,3.2490,2024-11-25
1 CANADIAN DOLLAR,3.2460,3.1560,3.1440,3.2750,3.0420,2024-11-25
1 EURO,4.7520,4.5930,4.5730,4.7590,4.4420,2024-11-25
1 NEW ZEALAND DOLLAR,2.6640,2.5630,2.5470,2.7770,2.4580,2024-11-25
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-11-25
1 SINGAPORE DOLLAR,3.3710,3.2700,3.2620,3.4440,3.2490,2024-11-25
1 POUND STERLING,5.7110,5.5230,5.5030,5.8040,5.3380,2024-11-25
1 SWISS FRANC,5.1190,4.8960,4.8810,5.1250,4.6860,2024-11-25
100 BANGLADESH TAKA,3.8690,3.5980,3.3980,N/A,N/A,2024-11-25
100 DANISH KRONER,65.3100,60.0400,59.8400,N/A,N/A,2024-11-25
100 HONGKONG DOLLAR,58.8000,55.8200,55.6200,58.9200,50.5600,2024-11-25
100 INDIAN RUPEE,5.4500,5.1100,4.9100,N/A,N/A,2024-11-25
100 INDONESIAN RUPIAH,0.0295,0.0267,0.0217,0.0305,0.0240,2024-11-25
100 JAPANESE YEN,2.9450,2.8470,2.8370,3.1500,2.6900,2024-11-25
100 NORWEGIAN KRONER,42.2600,38.8300,38.6300,44.6100,28.6800,2024-11-25
100 PAKISTAN RUPEE,1.6600,1.5500,1.3500,2.4300,1.4000,2024-11-25
100 PHILIPPINES PESO,7.7900,7.3400,7.1400,7.8000,7.3200,2024-11-25
100 SAUDI ARABIAN RIYAL,121.9300,115.7500,115.5500,120.9900,103.9000,2024-11-25
100 SOUTH AFRICAN RAND,26.0400,23.5000,23.3000,33.2900,23.1000,2024-11-25
100 SRI LANKA RUPEE,1.6000,1.4700,1.2700,1.5600,0.7200,2024-11-25
100 SWEDISH KRONER,42.6100,38.7500,38.5500,N/A,N/A,2024-11-25
100 THAILAND BAHT,13.7400,12.1700,11.7700,13.6500,11.5400,2024-11-25
1 US DOLLAR,4.5285,4.3895,4.3795,4.5800,4.3670,2024-11-25
100 ARAB EMIRATES DIRHAM,124.7300,118.1600,117.9600,124.3800,115.9400,2024-11-25
100 QATAR RIYAL,125.5200,119.1600,118.9600,N/A,N/A,2024-11-25
100 NEW TAIWAN DOLLAR,15.0000,N/A,N/A,14.1600,12.7800,2024-11-25
100 CHINESE RENMINBI,62.9200,60.2100,N/A,N/A,N/A,2024-11-25
