Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9460,2.8280,2.8120,2.9510,2.7410,2024-09-19
1 BRUNEI DOLLAR,3.3360,3.2390,3.2310,3.4440,3.2140,2024-09-19
1 CANADIAN DOLLAR,3.1770,3.0920,3.0800,3.2020,2.9750,2024-09-19
1 EURO,4.8120,4.6570,4.6370,4.8190,4.4990,2024-09-19
1 NEW ZEALAND DOLLAR,2.6970,2.5970,2.5810,2.7770,2.4890,2024-09-19
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-09-19
1 SINGAPORE DOLLAR,3.3360,3.2390,3.2310,3.4440,3.2140,2024-09-19
1 POUND STERLING,5.7190,5.5390,5.5190,5.8100,5.3460,2024-09-19
1 SWISS FRANC,5.1350,4.9170,4.9020,5.1390,4.7010,2024-09-19
100 BANGLADESH TAKA,3.7050,3.4490,3.2490,N/A,N/A,2024-09-19
100 DANISH KRONER,66.1300,60.8600,60.6600,N/A,N/A,2024-09-19
100 HONGKONG DOLLAR,56.2300,53.4200,53.2200,56.2100,50.5600,2024-09-19
100 INDIAN RUPEE,5.2700,4.9400,4.7400,N/A,N/A,2024-09-19
100 INDONESIAN RUPIAH,0.0293,0.0265,0.0215,0.0305,0.0240,2024-09-19
100 JAPANESE YEN,3.0210,2.9240,2.9140,3.1500,2.7700,2024-09-19
100 NORWEGIAN KRONER,41.8600,38.5000,38.3000,44.6100,28.6800,2024-09-19
100 PAKISTAN RUPEE,1.5900,1.4900,1.2900,2.4300,1.4000,2024-09-19
100 PHILIPPINES PESO,7.8700,7.4200,7.2200,7.8800,7.4000,2024-09-19
100 SAUDI ARABIAN RIYAL,116.8300,110.9100,110.7100,115.6000,103.9000,2024-09-19
100 SOUTH AFRICAN RAND,25.5300,23.0600,22.8600,33.2900,22.7000,2024-09-19
100 SRI LANKA RUPEE,1.4700,1.3500,1.1500,1.5200,0.7200,2024-09-19
100 SWEDISH KRONER,43.6700,39.7700,39.5700,N/A,N/A,2024-09-19
100 THAILAND BAHT,13.5400,12.0100,11.6100,13.4300,11.3600,2024-09-19
1 US DOLLAR,4.3390,4.2050,4.1950,4.5800,4.1710,2024-09-19
100 ARAB EMIRATES DIRHAM,119.4500,113.2600,113.0600,118.8400,112.5900,2024-09-19
100 QATAR RIYAL,120.2700,114.1700,113.9700,N/A,N/A,2024-09-19
100 NEW TAIWAN DOLLAR,14.6000,N/A,N/A,14.1600,12.4600,2024-09-19
100 CHINESE RENMINBI,61.4600,58.8700,N/A,N/A,N/A,2024-09-19
