Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.8440,2.7280,2.7120,2.9410,2.6420,2024-12-27
1 BRUNEI DOLLAR,3.3400,3.2420,3.2340,3.4440,3.2160,2024-12-27
1 CANADIAN DOLLAR,3.1510,3.0660,3.0540,3.1720,2.9480,2024-12-27
1 EURO,4.7390,4.5850,4.5650,4.7390,4.4250,2024-12-27
1 NEW ZEALAND DOLLAR,2.5660,2.4710,2.4550,2.7770,2.3640,2024-12-27
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-12-27
1 SINGAPORE DOLLAR,3.3400,3.2420,3.2340,3.4440,3.2160,2024-12-27
1 POUND STERLING,5.7010,5.5180,5.4980,5.7830,5.3210,2024-12-27
1 SWISS FRANC,5.0880,4.8730,4.8580,5.0830,4.6510,2024-12-27
100 BANGLADESH TAKA,3.8840,3.6160,3.4160,N/A,N/A,2024-12-27
100 DANISH KRONER,65.1200,59.9200,59.7200,N/A,N/A,2024-12-27
100 HONGKONG DOLLAR,59.1600,56.2100,56.0100,59.1300,50.5600,2024-12-27
100 INDIAN RUPEE,5.4200,5.0900,4.8900,N/A,N/A,2024-12-27
100 INDONESIAN RUPIAH,0.0290,0.0262,0.0212,0.0305,0.0230,2024-12-27
100 JAPANESE YEN,2.8890,2.7960,2.7860,3.1500,2.6300,2024-12-27
100 NORWEGIAN KRONER,40.9200,37.6300,37.4300,44.6100,28.6800,2024-12-27
100 PAKISTAN RUPEE,1.6600,1.5600,1.3600,2.4300,1.4000,2024-12-27
100 PHILIPPINES PESO,7.9700,7.5100,7.3100,7.9300,7.4500,2024-12-27
100 SAUDI ARABIAN RIYAL,122.4100,116.2100,116.0100,121.1300,103.9000,2024-12-27
100 SOUTH AFRICAN RAND,24.9800,22.5600,22.3600,33.2900,22.1800,2024-12-27
100 SRI LANKA RUPEE,1.5900,1.4600,1.2600,1.5500,0.7200,2024-12-27
100 SWEDISH KRONER,42.4000,38.6000,38.4000,N/A,N/A,2024-12-27
100 THAILAND BAHT,13.9000,12.3200,11.9200,13.8000,11.6700,2024-12-27
1 US DOLLAR,4.5460,4.4110,4.4010,4.5800,4.3750,2024-12-27
100 ARAB EMIRATES DIRHAM,125.2200,118.7300,118.5300,124.5500,115.9400,2024-12-27
100 QATAR RIYAL,126.0900,119.7000,119.5000,N/A,N/A,2024-12-27
100 NEW TAIWAN DOLLAR,14.9000,N/A,N/A,14.1600,12.7800,2024-12-27
100 CHINESE RENMINBI,62.7000,60.0600,N/A,N/A,N/A,2024-12-27
