Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.8500,2.7350,2.7190,2.9410,2.6440,2025-02-07
1 Brunei Dollar,3.3330,3.2360,3.2280,3.4440,3.2080,2025-02-07
1 Canadian Dollar,3.1450,3.0620,3.0500,3.1700,2.9410,2025-02-07
1 Euro,4.6840,4.5330,4.5130,4.6780,4.3700,2025-02-07
1 New Zealand Dollar,2.5710,2.4770,2.4610,2.7770,2.3630,2025-02-07
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-02-07
1 Singapore Dollar,3.3330,3.2360,3.2280,3.4440,3.2080,2025-02-07
1 Sterling Pound,5.6080,5.4310,5.4110,5.6850,5.2320,2025-02-07
1 Swiss Franc,5.0090,4.7960,4.7810,5.0020,4.5770,2025-02-07
100 Bangladesh Taka,3.7570,3.5260,3.3260,N/A,N/A,2025-02-07
100 Danish Krone,64.3400,59.2300,59.0300,N/A,N/A,2025-02-07
100 Hongkong Dollar,58.4600,55.5700,55.3700,58.4300,50.5600,2025-02-07
100 Indian Rupee,5.2300,4.9100,4.7100,N/A,N/A,2025-02-07
100 Indonesian Rupiah,0.0285,0.0258,0.0208,0.0305,0.0230,2025-02-07
100 Japanese Yen,2.9760,2.8820,2.8720,3.1500,2.7200,2025-02-07
100 Norwegian Krone,41.2800,37.9800,37.7800,44.6100,28.6800,2025-02-07
100 Pakistan Rupee,1.6400,1.5400,1.3400,2.4300,1.4000,2025-02-07
100 Philippine Peso,7.8800,7.4300,7.2300,7.8500,7.3800,2025-02-07
100 Saudi Riyal,121.4700,115.3200,115.1200,120.1500,103.9000,2025-02-07
100 South Africa Rand,25.3300,22.8800,22.6800,33.2900,22.4600,2025-02-07
100 Sri Lanka Rupee,1.5500,1.4300,1.2300,1.5200,0.7200,2025-02-07
100 Swedish Krona,42.6600,38.8600,38.6600,N/A,N/A,2025-02-07
100 Thai Baht,13.9400,12.3600,11.9600,13.8100,11.6900,2025-02-07
1 US Dollar,4.5055,4.3725,4.3625,4.5800,4.3350,2025-02-07
100 UAE Dirham,124.0900,117.7100,117.5100,123.3900,115.9400,2025-02-07
100 Qatar Riyal,124.9600,118.6300,118.4300,N/A,N/A,2025-02-07
100 New Taiwan Dollar,14.8000,N/A,N/A,14.1600,12.6300,2025-02-07
100 Chinese Renminbi,62.2300,59.6200,N/A,N/A,N/A,2025-02-07
