Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9360,2.8190,2.8030,2.9410,2.7290,2024-11-01
1 BRUNEI DOLLAR,3.3580,3.2610,3.2530,3.4440,3.2340,2024-11-01
1 CANADIAN DOLLAR,3.1840,3.0990,3.0870,3.2080,2.9790,2024-11-01
1 EURO,4.8380,4.6820,4.6620,4.8390,4.5170,2024-11-01
1 NEW ZEALAND DOLLAR,2.6610,2.5640,2.5480,2.7770,2.4500,2024-11-01
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-11-01
1 SINGAPORE DOLLAR,3.3580,3.2610,3.2530,3.4440,3.2340,2024-11-01
1 POUND STERLING,5.7330,5.5530,5.5330,5.8180,5.3510,2024-11-01
1 SWISS FRANC,5.1760,4.9570,4.9420,5.1740,4.7300,2024-11-01
100 BANGLADESH TAKA,3.7930,3.5320,3.3320,N/A,N/A,2024-11-01
100 DANISH KRONER,66.4900,61.1900,60.9900,N/A,N/A,2024-11-01
100 HONGKONG DOLLAR,57.7200,54.8500,54.6500,57.7700,50.5600,2024-11-01
100 INDIAN RUPEE,5.3700,5.0400,4.8400,N/A,N/A,2024-11-01
100 INDONESIAN RUPIAH,0.0292,0.0265,0.0215,0.0305,0.0240,2024-11-01
100 JAPANESE YEN,2.9210,2.8280,2.8180,3.1500,2.6700,2024-11-01
100 NORWEGIAN KRONER,41.4300,38.1100,37.9100,44.6100,28.6800,2024-11-01
100 PAKISTAN RUPEE,1.6200,1.5300,1.3300,2.4300,1.4000,2024-11-01
100 PHILIPPINES PESO,7.7300,7.2800,7.0800,7.7200,7.2500,2024-11-01
100 SAUDI ARABIAN RIYAL,119.5500,113.4900,113.2900,118.4900,103.9000,2024-11-01
100 SOUTH AFRICAN RAND,26.1400,23.6100,23.4100,33.2900,23.1000,2024-11-01
100 SRI LANKA RUPEE,1.5600,1.4300,1.2300,1.5200,0.7200,2024-11-01
100 SWEDISH KRONER,43.0200,39.1800,38.9800,N/A,N/A,2024-11-01
100 THAILAND BAHT,13.7300,12.1800,11.7800,13.6200,11.5100,2024-11-01
1 US DOLLAR,4.4415,4.3075,4.2975,4.5800,4.2750,2024-11-01
100 ARAB EMIRATES DIRHAM,122.3100,115.9800,115.7800,121.8100,115.3600,2024-11-01
100 QATAR RIYAL,123.1400,116.9000,116.7000,N/A,N/A,2024-11-01
100 NEW TAIWAN DOLLAR,14.9000,N/A,N/A,14.1600,12.7800,2024-11-01
100 CHINESE RENMINBI,62.7600,60.1200,N/A,N/A,N/A,2024-11-01
