Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.8590,2.7440,2.7280,2.9410,2.6530,2025-02-27
1 Brunei Dollar,3.3630,3.2650,3.2570,3.4440,3.2360,2025-02-27
1 Canadian Dollar,3.1380,3.0540,3.0420,3.1700,2.9340,2025-02-27
1 Euro,4.7270,4.5750,4.5550,4.7240,4.4120,2025-02-27
1 New Zealand Dollar,2.5760,2.4820,2.4660,2.7770,2.3720,2025-02-27
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-02-27
1 Singapore Dollar,3.3630,3.2650,3.2570,3.4440,3.2360,2025-02-27
1 Sterling Pound,5.7170,5.5350,5.5150,5.7950,5.3330,2025-02-27
1 Swiss Franc,5.0680,4.8520,4.8370,5.0620,4.6310,2025-02-27
100 Bangladesh Taka,3.7870,3.5270,3.3270,N/A,N/A,2025-02-27
100 Danish Krone,64.9700,59.8000,59.6000,N/A,N/A,2025-02-27
100 Hongkong Dollar,58.5800,55.6700,55.4700,58.5400,50.5600,2025-02-27
100 Indian Rupee,5.2600,4.9400,4.7400,N/A,N/A,2025-02-27
100 Indonesian Rupiah,0.0284,0.0257,0.0207,0.0305,0.0230,2025-02-27
100 Japanese Yen,3.0250,2.9280,2.9180,3.1500,2.7600,2025-02-27
100 Norwegian Krone,41.4500,38.1300,37.9300,44.6100,28.6800,2025-02-27
100 Pakistan Rupee,1.6400,1.5400,1.3400,2.4300,1.4000,2025-02-27
100 Philippine Peso,7.9000,7.4400,7.2400,7.8800,7.4100,2025-02-27
100 Saudi Riyal,121.5200,115.3600,115.1600,120.1500,103.9000,2025-02-27
100 South Africa Rand,25.3300,22.8800,22.6800,33.2900,22.5000,2025-02-27
100 Sri Lanka Rupee,1.5700,1.4400,1.2400,1.5200,0.7200,2025-02-27
100 Swedish Krona,43.6200,39.7300,39.5300,N/A,N/A,2025-02-27
100 Thai Baht,13.9100,12.3400,11.9400,13.8200,11.6900,2025-02-27
1 US Dollar,4.5075,4.3735,4.3635,4.5800,4.3360,2025-02-27
100 UAE Dirham,124.1600,117.7300,117.5300,123.4400,115.9400,2025-02-27
100 Qatar Riyal,125.0300,118.6900,118.4900,N/A,N/A,2025-02-27
100 New Taiwan Dollar,14.8000,N/A,N/A,14.1600,12.6500,2025-02-27
100 Chinese Renminbi,62.4300,59.8000,N/A,N/A,N/A,2025-02-27
