Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,3.0020,2.8810,2.8650,3.0090,2.7960,2024-08-20
1 BRUNEI DOLLAR,3.3880,3.2910,3.2830,3.4440,3.2680,2024-08-20
1 CANADIAN DOLLAR,3.2490,3.1620,3.1500,3.2780,3.0470,2024-08-20
1 EURO,4.9220,4.7630,4.7430,4.9290,4.6040,2024-08-20
1 NEW ZEALAND DOLLAR,2.7240,2.6240,2.6080,2.7770,2.5150,2024-08-20
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-08-20
1 SINGAPORE DOLLAR,3.3880,3.2910,3.2830,3.4440,3.2680,2024-08-20
1 POUND STERLING,5.7690,5.5850,5.5650,5.8630,5.3950,2024-08-20
1 SWISS FRANC,5.1790,4.9580,4.9430,5.1840,4.7430,2024-08-20
100 BANGLADESH TAKA,3.7960,3.5340,3.3340,N/A,N/A,2024-08-20
100 DANISH KRONER,67.6100,62.2200,62.0200,N/A,N/A,2024-08-20
100 HONGKONG DOLLAR,57.5500,54.6900,54.4900,57.6700,50.5600,2024-08-20
100 INDIAN RUPEE,5.3800,5.0500,4.8500,N/A,N/A,2024-08-20
100 INDONESIAN RUPIAH,0.0295,0.0267,0.0217,0.0305,0.0240,2024-08-20
100 JAPANESE YEN,3.0320,2.9360,2.9260,3.1500,2.7700,2024-08-20
100 NORWEGIAN KRONER,43.1400,39.6900,39.4900,44.6100,28.6800,2024-08-20
100 PAKISTAN RUPEE,1.6200,1.5200,1.3200,2.4300,1.4000,2024-08-20
100 PHILIPPINES PESO,7.9500,7.4900,7.2900,7.9600,7.4700,2024-08-20
100 SAUDI ARABIAN RIYAL,119.5300,113.4700,113.2700,118.5500,103.9000,2024-08-20
100 SOUTH AFRICAN RAND,25.9600,23.4400,23.2400,33.2900,23.1000,2024-08-20
100 SRI LANKA RUPEE,1.5200,1.4000,1.2000,1.5200,0.7200,2024-08-20
100 SWEDISH KRONER,44.3800,40.4100,40.2100,N/A,N/A,2024-08-20
100 THAILAND BAHT,13.4700,11.9500,11.5500,13.3800,11.3200,2024-08-20
1 US DOLLAR,4.4370,4.3030,4.2930,4.5800,4.2790,2024-08-20
100 ARAB EMIRATES DIRHAM,122.1900,115.8600,115.6600,121.8400,115.4700,2024-08-20
100 QATAR RIYAL,123.0000,116.7700,116.5700,N/A,N/A,2024-08-20
100 NEW TAIWAN DOLLAR,15.0000,N/A,N/A,14.1600,12.7800,2024-08-20
100 CHINESE RENMINBI,62.5500,59.9100,N/A,N/A,N/A,2024-08-20
