Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.8330,2.7180,2.7020,2.9410,2.6370,2024-12-31
1 BRUNEI DOLLAR,3.3280,3.2300,3.2220,3.4440,3.2120,2024-12-31
1 CANADIAN DOLLAR,3.1510,3.0650,3.0530,3.1820,2.9560,2024-12-31
1 EURO,4.7160,4.5620,4.5420,4.7280,4.4140,2024-12-31
1 NEW ZEALAND DOLLAR,2.5600,2.4670,2.4510,2.7770,2.3670,2024-12-31
1 P NEW GUINEA KINA,N/A,N/A,0.0160,N/A,N/A,2024-12-31
1 SINGAPORE DOLLAR,3.3280,3.2300,3.2220,3.4440,3.2120,2024-12-31
1 POUND STERLING,5.6870,5.5080,5.4880,5.7860,5.3220,2024-12-31
1 SWISS FRANC,5.0460,4.8290,4.8140,5.0570,4.6250,2024-12-31
100 BANGLADESH TAKA,3.8640,3.5970,3.3970,N/A,N/A,2024-12-31
100 DANISH KRONER,64.8100,59.6300,59.4300,N/A,N/A,2024-12-31
100 HONGKONG DOLLAR,58.8700,55.9300,55.7300,59.1500,50.5600,2024-12-31
100 INDIAN RUPEE,5.3800,5.0400,4.8400,N/A,N/A,2024-12-31
100 INDONESIAN RUPIAH,0.0290,0.0262,0.0212,0.0305,0.0240,2024-12-31
100 JAPANESE YEN,2.8970,2.8030,2.7930,3.1500,2.6400,2024-12-31
100 NORWEGIAN KRONER,41.0200,37.7200,37.5200,44.6100,28.6800,2024-12-31
100 PAKISTAN RUPEE,1.6500,1.5500,1.3500,2.4300,1.4000,2024-12-31
100 PHILIPPINES PESO,7.9400,7.4800,7.2800,7.9600,7.4700,2024-12-31
100 SAUDI ARABIAN RIYAL,121.7700,115.5900,115.3900,121.1500,103.9000,2024-12-31
100 SOUTH AFRICAN RAND,24.9600,22.5300,22.3300,33.2900,22.2300,2024-12-31
100 SRI LANKA RUPEE,1.5900,1.4600,1.2600,1.5500,0.7200,2024-12-31
100 SWEDISH KRONER,42.3500,38.5600,38.3600,N/A,N/A,2024-12-31
100 THAILAND BAHT,13.8300,12.2500,11.8500,13.7600,11.6300,2024-12-31
1 US DOLLAR,4.5230,4.3880,4.3780,4.5800,4.3730,2024-12-31
100 ARAB EMIRATES DIRHAM,124.5900,118.1100,117.9100,124.5400,115.9400,2024-12-31
100 QATAR RIYAL,125.4400,119.0800,118.8800,N/A,N/A,2024-12-31
100 NEW TAIWAN DOLLAR,14.9000,N/A,N/A,14.1600,12.7500,2024-12-31
100 CHINESE RENMINBI,62.3900,59.7600,N/A,N/A,N/A,2024-12-31
