Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.8660,2.7510,2.7350,2.9410,2.6620,2025-02-14
1 Brunei Dollar,3.3520,3.2560,3.2480,3.4440,3.2300,2025-02-14
1 Canadian Dollar,3.1720,3.0880,3.0760,3.1960,2.9700,2025-02-14
1 Euro,4.7190,4.5670,4.5470,4.7230,4.4100,2025-02-14
1 New Zealand Dollar,2.5740,2.4800,2.4640,2.7770,2.3690,2025-02-14
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-02-14
1 Singapore Dollar,3.3520,3.2560,3.2480,3.4440,3.2300,2025-02-14
1 Sterling Pound,5.6680,5.4890,5.4690,5.7540,5.2950,2025-02-14
1 Swiss Franc,5.0230,4.8110,4.7960,5.0240,4.5960,2025-02-14
100 Bangladesh Taka,3.7860,3.5270,3.3270,N/A,N/A,2025-02-14
100 Danish Krone,64.8400,59.6800,59.4800,N/A,N/A,2025-02-14
100 Hongkong Dollar,58.4800,55.5900,55.3900,58.5200,50.5600,2025-02-14
100 Indian Rupee,5.2800,4.9600,4.7600,N/A,N/A,2025-02-14
100 Indonesian Rupiah,0.0286,0.0259,0.0209,0.0305,0.0230,2025-02-14
100 Japanese Yen,2.9540,2.8600,2.8500,3.1500,2.7000,2025-02-14
100 Norwegian Krone,41.4700,38.1600,37.9600,44.6100,28.6800,2025-02-14
100 Pakistan Rupee,1.6400,1.5400,1.3400,2.4300,1.4000,2025-02-14
100 Philippine Peso,7.8900,7.4400,7.2400,7.9000,7.4200,2025-02-14
100 Saudi Riyal,121.5000,115.3400,115.1400,120.3300,103.9000,2025-02-14
100 South Africa Rand,25.2600,22.8200,22.6200,33.2900,22.4500,2025-02-14
100 Sri Lanka Rupee,1.5600,1.4400,1.2400,1.5300,0.7200,2025-02-14
100 Swedish Krona,43.2900,39.4400,39.2400,N/A,N/A,2025-02-14
100 Thai Baht,13.9600,12.3900,11.9900,13.8700,11.7400,2025-02-14
1 US Dollar,4.5065,4.3735,4.3635,4.5800,4.3420,2025-02-14
100 UAE Dirham,124.1200,117.7300,117.5300,123.6200,115.9400,2025-02-14
100 Qatar Riyal,124.9900,118.6600,118.4600,N/A,N/A,2025-02-14
100 New Taiwan Dollar,14.8000,N/A,N/A,14.1600,12.7000,2025-02-14
100 Chinese Renminbi,62.2400,59.6300,N/A,N/A,N/A,2025-02-14
