Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9370,2.8170,2.8010,2.9430,2.7340,2024-10-22
1 BRUNEI DOLLAR,3.3320,3.2340,3.2260,3.4440,3.2120,2024-10-22
1 CANADIAN DOLLAR,3.1680,3.0820,3.0700,3.1960,2.9700,2024-10-22
1 EURO,4.7520,4.5970,4.5770,4.7590,4.4440,2024-10-22
1 NEW ZEALAND DOLLAR,2.6550,2.5570,2.5410,2.7770,2.4510,2024-10-22
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-22
1 SINGAPORE DOLLAR,3.3320,3.2340,3.2260,3.4440,3.2120,2024-10-22
1 POUND STERLING,5.7040,5.5230,5.5030,5.7980,5.3350,2024-10-22
1 SWISS FRANC,5.1050,4.8870,4.8720,5.1100,4.6750,2024-10-22
100 BANGLADESH TAKA,3.7490,3.4890,3.2890,N/A,N/A,2024-10-22
100 DANISH KRONER,65.3300,60.0900,59.8900,N/A,N/A,2024-10-22
100 HONGKONG DOLLAR,57.0500,54.1900,53.9900,57.1600,50.5600,2024-10-22
100 INDIAN RUPEE,5.3100,4.9800,4.7800,N/A,N/A,2024-10-22
100 INDONESIAN RUPIAH,0.0293,0.0265,0.0215,0.0305,0.0240,2024-10-22
100 JAPANESE YEN,2.9170,2.8220,2.8120,3.1500,2.6700,2024-10-22
100 NORWEGIAN KRONER,41.1300,37.8200,37.6200,44.6100,28.6800,2024-10-22
100 PAKISTAN RUPEE,1.6100,1.5100,1.3100,2.4300,1.4000,2024-10-22
100 PHILIPPINES PESO,7.7300,7.2800,7.0800,7.7400,7.2700,2024-10-22
100 SAUDI ARABIAN RIYAL,118.1000,112.1200,111.9200,117.1700,103.9000,2024-10-22
100 SOUTH AFRICAN RAND,25.8000,23.3000,23.1000,33.2900,22.9500,2024-10-22
100 SRI LANKA RUPEE,1.5400,1.4100,1.2100,1.5200,0.7200,2024-10-22
100 SWEDISH KRONER,42.8500,39.0100,38.8100,N/A,N/A,2024-10-22
100 THAILAND BAHT,13.6700,12.1300,11.7300,13.5800,11.4900,2024-10-22
1 US DOLLAR,4.3900,4.2540,4.2440,4.5800,4.2320,2024-10-22
100 ARAB EMIRATES DIRHAM,120.8700,114.5600,114.3600,120.5300,114.2000,2024-10-22
100 QATAR RIYAL,121.6700,115.5000,115.3000,N/A,N/A,2024-10-22
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,14.1600,12.6000,2024-10-22
100 CHINESE RENMINBI,62.0500,59.4100,N/A,N/A,N/A,2024-10-22
