Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9470,2.8280,2.8120,2.9630,2.7530,2024-09-17
1 BRUNEI DOLLAR,3.3530,3.2530,3.2450,3.4440,3.2420,2024-09-17
1 CANADIAN DOLLAR,3.1900,3.1040,3.0920,3.2320,3.0040,2024-09-17
1 EURO,4.8380,4.6800,4.6600,4.8630,4.5420,2024-09-17
1 NEW ZEALAND DOLLAR,2.6990,2.5990,2.5830,2.7770,2.5000,2024-09-17
1 P NEW GUINEA KINA,N/A,N/A,0.0160,N/A,N/A,2024-09-17
1 SINGAPORE DOLLAR,3.3530,3.2530,3.2450,3.4440,3.2420,2024-09-17
1 POUND STERLING,5.7410,5.5580,5.5380,5.8580,5.3900,2024-09-17
1 SWISS FRANC,5.1800,4.9560,4.9410,5.2010,4.7590,2024-09-17
100 BANGLADESH TAKA,3.7090,3.4520,3.2520,N/A,N/A,2024-09-17
100 DANISH KRONER,66.4600,61.1300,60.9300,N/A,N/A,2024-09-17
100 HONGKONG DOLLAR,56.3200,53.4900,53.2900,56.6500,50.5600,2024-09-17
100 INDIAN RUPEE,5.2600,4.9400,4.7400,N/A,N/A,2024-09-17
100 INDONESIAN RUPIAH,0.0293,0.0265,0.0215,0.0305,0.0240,2024-09-17
100 JAPANESE YEN,3.0950,2.9940,2.9840,3.1500,2.8400,2024-09-17
100 NORWEGIAN KRONER,42.1100,38.7100,38.5100,44.6100,28.6800,2024-09-17
100 PAKISTAN RUPEE,1.5900,1.4900,1.2900,2.4300,1.4000,2024-09-17
100 PHILIPPINES PESO,7.9000,7.4400,7.2400,7.9400,7.4600,2024-09-17
100 SAUDI ARABIAN RIYAL,116.9400,111.0100,110.8100,116.4600,103.9000,2024-09-17
100 SOUTH AFRICAN RAND,25.5400,23.0600,22.8600,33.2900,22.8100,2024-09-17
100 SRI LANKA RUPEE,1.4800,1.3600,1.1600,1.5200,0.7200,2024-09-17
100 SWEDISH KRONER,44.0200,40.0600,39.8600,N/A,N/A,2024-09-17
100 THAILAND BAHT,13.6300,12.0800,11.6800,13.5900,11.4900,2024-09-17
1 US DOLLAR,4.3440,4.2080,4.1980,4.5800,4.2040,2024-09-17
100 ARAB EMIRATES DIRHAM,119.5900,113.3400,113.1400,119.7300,113.4500,2024-09-17
100 QATAR RIYAL,120.3800,114.2800,114.0800,N/A,N/A,2024-09-17
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,N/A,N/A,2024-09-17
100 CHINESE RENMINBI,N/A,N/A,N/A,N/A,N/A,2024-09-17
