Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9850,2.8640,2.8480,2.9920,2.7790,2024-08-07
1 BRUNEI DOLLAR,3.4260,3.3240,3.3160,3.4440,3.3020,2024-08-07
1 CANADIAN DOLLAR,3.2950,3.2030,3.1910,3.3240,3.0880,2024-08-07
1 EURO,4.9720,4.8070,4.7870,4.9550,4.6490,2024-08-07
1 NEW ZEALAND DOLLAR,2.7340,2.6320,2.6160,2.7770,2.5230,2024-08-07
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-08-07
1 SINGAPORE DOLLAR,3.4260,3.3240,3.3160,3.4440,3.3020,2024-08-07
1 POUND STERLING,5.7890,5.6060,5.5860,5.8130,5.4000,2024-08-07
1 SWISS FRANC,5.3500,5.1220,5.1070,5.3630,4.9040,2024-08-07
100 BANGLADESH TAKA,3.9480,3.6720,3.4720,N/A,N/A,2024-08-07
100 DANISH KRONER,68.3100,62.7900,62.5900,N/A,N/A,2024-08-07
100 HONGKONG DOLLAR,58.9200,55.9300,55.7300,59.0400,50.5600,2024-08-07
100 INDIAN RUPEE,5.5000,5.1600,4.9600,N/A,N/A,2024-08-07
100 INDONESIAN RUPIAH,0.0291,0.0263,0.0213,0.0305,0.0240,2024-08-07
100 JAPANESE YEN,3.1070,3.0070,2.9970,3.1500,2.8600,2024-08-07
100 NORWEGIAN KRONER,42.7700,39.3000,39.1000,44.6100,28.6800,2024-08-07
100 PAKISTAN RUPEE,1.6600,1.5600,1.3600,2.4300,1.4000,2024-08-07
100 PHILIPPINES PESO,7.9800,7.5100,7.3100,7.9800,7.4900,2024-08-07
100 SAUDI ARABIAN RIYAL,122.3100,116.1100,115.9100,121.3700,103.9000,2024-08-07
100 SOUTH AFRICAN RAND,25.4800,22.9900,22.7900,33.2900,22.6500,2024-08-07
100 SRI LANKA RUPEE,1.5500,1.4200,1.2200,1.5200,0.7200,2024-08-07
100 SWEDISH KRONER,44.5200,40.5100,40.3100,N/A,N/A,2024-08-07
100 THAILAND BAHT,13.3600,11.8400,11.4400,13.2700,11.2300,2024-08-07
1 US DOLLAR,4.5515,4.4155,4.4055,4.5390,4.3830,2024-08-07
100 ARAB EMIRATES DIRHAM,125.1700,118.5700,118.3700,124.8200,115.9400,2024-08-07
100 QATAR RIYAL,125.9400,119.5600,119.3600,N/A,N/A,2024-08-07
100 NEW TAIWAN DOLLAR,15.0000,N/A,N/A,14.1600,12.7800,2024-08-07
100 CHINESE RENMINBI,63.9300,61.1600,N/A,N/A,N/A,2024-08-07
