Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,3.0080,2.8870,2.8710,3.0150,2.8010,2024-08-26
1 BRUNEI DOLLAR,3.3850,3.2880,3.2800,3.4440,3.2650,2024-08-26
1 CANADIAN DOLLAR,3.2570,3.1700,3.1580,3.2860,3.0540,2024-08-26
1 EURO,4.9380,4.7790,4.7590,4.9460,4.6190,2024-08-26
1 NEW ZEALAND DOLLAR,2.7550,2.6540,2.6380,2.7770,2.5440,2024-08-26
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-08-26
1 SINGAPORE DOLLAR,3.3850,3.2880,3.2800,3.4440,3.2650,2024-08-26
1 POUND STERLING,5.8280,5.6450,5.6250,5.9230,5.4520,2024-08-26
1 SWISS FRANC,5.2400,5.0190,5.0040,5.2460,4.8000,2024-08-26
100 BANGLADESH TAKA,3.7620,3.5030,3.3030,N/A,N/A,2024-08-26
100 DANISH KRONER,67.8500,62.4400,62.2400,N/A,N/A,2024-08-26
100 HONGKONG DOLLAR,57.0900,54.2500,54.0500,57.2000,50.5600,2024-08-26
100 INDIAN RUPEE,5.3400,5.0100,4.8100,N/A,N/A,2024-08-26
100 INDONESIAN RUPIAH,0.0294,0.0266,0.0216,0.0305,0.0240,2024-08-26
100 JAPANESE YEN,3.0720,2.9740,2.9640,3.1500,2.8100,2024-08-26
100 NORWEGIAN KRONER,43.2500,39.7900,39.5900,44.6100,28.6800,2024-08-26
100 PAKISTAN RUPEE,1.6100,1.5100,1.3100,2.4300,1.4000,2024-08-26
100 PHILIPPINES PESO,7.9200,7.4600,7.2600,7.9300,7.4500,2024-08-26
100 SAUDI ARABIAN RIYAL,118.6700,112.6600,112.4600,117.7000,103.9000,2024-08-26
100 SOUTH AFRICAN RAND,25.7700,23.2700,23.0700,33.2900,22.9200,2024-08-26
100 SRI LANKA RUPEE,1.5100,1.3900,1.1900,1.5200,0.7200,2024-08-26
100 SWEDISH KRONER,44.6000,40.5900,40.3900,N/A,N/A,2024-08-26
100 THAILAND BAHT,13.5800,12.0400,11.6400,13.4900,11.4100,2024-08-26
1 US DOLLAR,4.4055,4.2715,4.2615,4.5800,4.2480,2024-08-26
100 ARAB EMIRATES DIRHAM,121.3000,115.0300,114.8300,120.9600,114.6400,2024-08-26
100 QATAR RIYAL,122.1100,115.9200,115.7200,N/A,N/A,2024-08-26
100 NEW TAIWAN DOLLAR,14.9000,N/A,N/A,14.1600,12.7800,2024-08-26
100 CHINESE RENMINBI,62.2300,59.6000,N/A,N/A,N/A,2024-08-26
