Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9800,2.8610,2.8450,2.9870,2.7760,2024-08-15
1 BRUNEI DOLLAR,3.4110,3.3120,3.3040,3.4440,3.2890,2024-08-15
1 CANADIAN DOLLAR,3.2720,3.1850,3.1730,3.3010,3.0680,2024-08-15
1 EURO,4.9540,4.7950,4.7750,4.9610,4.6340,2024-08-15
1 NEW ZEALAND DOLLAR,2.7070,2.6080,2.5920,2.7770,2.4990,2024-08-15
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-08-15
1 SINGAPORE DOLLAR,3.4110,3.3120,3.3040,3.4440,3.2890,2024-08-15
1 POUND STERLING,5.7710,5.5870,5.5670,5.8660,5.3980,2024-08-15
1 SWISS FRANC,5.2300,5.0070,4.9920,5.2350,4.7890,2024-08-15
100 BANGLADESH TAKA,3.9030,3.6340,3.4340,N/A,N/A,2024-08-15
100 DANISH KRONER,68.0700,62.6400,62.4400,N/A,N/A,2024-08-15
100 HONGKONG DOLLAR,58.2600,55.3700,55.1700,58.3800,50.5600,2024-08-15
100 INDIAN RUPEE,5.4400,5.1100,4.9100,N/A,N/A,2024-08-15
100 INDONESIAN RUPIAH,0.0296,0.0268,0.0218,0.0305,0.0240,2024-08-15
100 JAPANESE YEN,3.0550,2.9580,2.9480,3.1500,2.7900,2024-08-15
100 NORWEGIAN KRONER,43.0300,39.5800,39.3800,44.6100,28.6800,2024-08-15
100 PAKISTAN RUPEE,1.6400,1.5400,1.3400,2.4300,1.4000,2024-08-15
100 PHILIPPINES PESO,8.0100,7.5400,7.3400,8.0100,7.5300,2024-08-15
100 SAUDI ARABIAN RIYAL,121.0400,114.9000,114.7000,120.0400,103.9000,2024-08-15
100 SOUTH AFRICAN RAND,25.7700,23.2800,23.0800,33.2900,22.9400,2024-08-15
100 SRI LANKA RUPEE,1.5400,1.4200,1.2200,1.5200,0.7200,2024-08-15
100 SWEDISH KRONER,44.2800,40.3300,40.1300,N/A,N/A,2024-08-15
100 THAILAND BAHT,13.3500,11.8400,11.4400,13.2600,11.2200,2024-08-15
1 US DOLLAR,4.4930,4.3590,4.3490,4.5800,4.3350,2024-08-15
100 ARAB EMIRATES DIRHAM,123.7500,117.3400,117.1400,123.4000,115.9400,2024-08-15
100 QATAR RIYAL,124.5700,118.2600,118.0600,N/A,N/A,2024-08-15
100 NEW TAIWAN DOLLAR,15.0000,N/A,N/A,14.1600,12.7800,2024-08-15
100 CHINESE RENMINBI,63.3600,60.6900,N/A,N/A,N/A,2024-08-15
