Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.8310,2.7180,2.7020,2.9410,2.6370,2025-03-03
1 Brunei Dollar,3.3530,3.2570,3.2490,3.4440,3.2340,2025-03-03
1 Canadian Dollar,3.1310,3.0470,3.0350,3.1700,2.9360,2025-03-03
1 Euro,4.7180,4.5670,4.5470,4.7250,4.4140,2025-03-03
1 New Zealand Dollar,2.5470,2.4540,2.4380,2.7770,2.3520,2025-03-03
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-03-03
1 Singapore Dollar,3.3530,3.2570,3.2490,3.4440,3.2340,2025-03-03
1 Sterling Pound,5.7110,5.5320,5.5120,5.8050,5.3430,2025-03-03
1 Swiss Franc,5.0500,4.8390,4.8240,5.0550,4.6270,2025-03-03
100 Bangladesh Taka,3.8020,3.5410,3.3410,N/A,N/A,2025-03-03
100 Danish Krone,64.8500,59.6900,59.4900,N/A,N/A,2025-03-03
100 Hongkong Dollar,58.8000,55.9000,55.7000,58.9200,50.5600,2025-03-03
100 Indian Rupee,5.2600,4.9400,4.7400,N/A,N/A,2025-03-03
100 Indonesian Rupiah,0.0282,0.0256,0.0206,0.0305,0.0230,2025-03-03
100 Japanese Yen,3.0100,2.9150,2.9050,3.1500,2.7500,2025-03-03
100 Norwegian Krone,41.3700,38.0400,37.8400,44.6100,28.6800,2025-03-03
100 Pakistan Rupee,1.6500,1.5400,1.3400,2.4300,1.4000,2025-03-03
100 Philippine Peso,7.9200,7.4600,7.2600,7.9300,7.4500,2025-03-03
100 Saudi Riyal,122.0200,115.8300,115.6300,120.9900,103.9000,2025-03-03
100 South Africa Rand,25.1900,22.7500,22.5500,33.2900,22.4200,2025-03-03
100 Sri Lanka Rupee,1.5700,1.4500,1.2500,1.5400,0.7200,2025-03-03
100 Swedish Krona,43.5100,39.6300,39.4300,N/A,N/A,2025-03-03
100 Thai Baht,13.8200,12.2600,11.8600,13.7200,11.6100,2025-03-03
1 US Dollar,4.5250,4.3920,4.3820,4.5800,4.3670,2025-03-03
100 UAE Dirham,124.6500,118.2300,118.0300,124.3000,115.9400,2025-03-03
100 Qatar Riyal,125.5600,119.1900,118.9900,N/A,N/A,2025-03-03
100 New Taiwan Dollar,14.8000,N/A,N/A,14.1600,12.6800,2025-03-03
100 Chinese Renminbi,62.5500,59.9200,N/A,N/A,N/A,2025-03-03
