Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.8390,2.7220,2.7060,2.9410,2.6420,2025-01-13
1 Brunei Dollar,3.3400,3.2420,3.2340,3.4440,3.2210,2025-01-13
1 Canadian Dollar,3.1750,3.0890,3.0770,3.2040,2.9770,2025-01-13
1 Euro,4.7020,4.5480,4.5280,4.7090,4.3970,2025-01-13
1 New Zealand Dollar,2.5620,2.4660,2.4500,2.7770,2.3640,2025-01-13
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-01-13
1 Singapore Dollar,3.3400,3.2420,3.2340,3.4440,3.2210,2025-01-13
1 Sterling Pound,5.6030,5.4210,5.4010,5.6950,5.2390,2025-01-13
1 Swiss Franc,5.0340,4.8160,4.8010,5.0390,4.6090,2025-01-13
100 Bangladesh Taka,3.8520,3.5850,3.3850,N/A,N/A,2025-01-13
100 Danish Krone,64.6100,59.4200,59.2200,N/A,N/A,2025-01-13
100 Hongkong Dollar,59.5000,56.5100,56.3100,59.6200,50.5600,2025-01-13
100 Indian Rupee,5.4100,5.0700,4.8700,N/A,N/A,2025-01-13
100 Indonesian Rupiah,0.0293,0.0265,0.0215,0.0305,0.0240,2025-01-13
100 Japanese Yen,2.9080,2.8130,2.8030,3.1500,2.6600,2025-01-13
100 Norwegian Krone,41.1400,37.7400,37.5400,44.6100,28.6800,2025-01-13
100 Pakistan Rupee,1.6700,1.5700,1.3700,2.4300,1.4000,2025-01-13
100 Philippine Peso,7.9300,7.4700,7.2700,7.9400,7.4600,2025-01-13
100 Saudi Riyal,123.4500,117.1900,116.9900,122.4900,103.9000,2025-01-13
100 South Africa Rand,24.8700,22.4500,22.2500,33.2900,22.1200,2025-01-13
100 Sri Lanka Rupee,1.6000,1.4700,1.2700,1.5600,0.7200,2025-01-13
100 Swedish Krona,42.1700,38.3800,38.1800,N/A,N/A,2025-01-13
100 Thai Baht,13.7800,12.2100,11.8100,13.6900,11.5800,2025-01-13
1 US Dollar,4.5840,4.4470,4.4370,4.6310,4.4230,2025-01-13
100 UAE Dirham,126.2800,119.6900,119.4900,125.9300,115.9400,2025-01-13
100 Qatar Riyal,127.1400,120.6900,120.4900,N/A,N/A,2025-01-13
100 New Taiwan Dollar,14.9000,N/A,N/A,14.1600,12.7800,2025-01-13
100 Chinese Renminbi,62.9400,60.2600,N/A,N/A,N/A,2025-01-13
