Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9710,2.8510,2.8350,2.9780,2.7660,2024-11-21
1 BRUNEI DOLLAR,3.3790,3.2800,3.2720,3.4440,3.2580,2024-11-21
1 CANADIAN DOLLAR,3.2460,3.1570,3.1450,3.2750,3.0430,2024-11-21
1 EURO,4.7920,4.6360,4.6160,4.7990,4.4810,2024-11-21
1 NEW ZEALAND DOLLAR,2.6780,2.5790,2.5630,2.7770,2.4720,2024-11-21
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-11-21
1 SINGAPORE DOLLAR,3.3790,3.2800,3.2720,3.4440,3.2580,2024-11-21
1 POUND STERLING,5.7500,5.5670,5.5470,5.8440,5.3780,2024-11-21
1 SWISS FRANC,5.1730,4.9510,4.9360,5.1780,4.7370,2024-11-21
100 BANGLADESH TAKA,3.8770,3.6080,3.4080,N/A,N/A,2024-11-21
100 DANISH KRONER,65.8500,60.5800,60.3800,N/A,N/A,2024-11-21
100 HONGKONG DOLLAR,58.9300,55.9800,55.7800,59.0500,50.5600,2024-11-21
100 INDIAN RUPEE,5.4700,5.1300,4.9300,N/A,N/A,2024-11-21
100 INDONESIAN RUPIAH,0.0296,0.0268,0.0218,0.0305,0.0240,2024-11-21
100 JAPANESE YEN,2.9320,2.8360,2.8260,3.1500,2.6800,2024-11-21
100 NORWEGIAN KRONER,42.1300,38.7400,38.5400,44.6100,28.6800,2024-11-21
100 PAKISTAN RUPEE,1.6600,1.5600,1.3600,2.4300,1.4000,2024-11-21
100 PHILIPPINES PESO,7.8100,7.3500,7.1500,7.8100,7.3400,2024-11-21
100 SAUDI ARABIAN RIYAL,122.2000,116.0100,115.8100,121.2200,103.9000,2024-11-21
100 SOUTH AFRICAN RAND,25.9800,23.4500,23.2500,33.2900,23.1000,2024-11-21
100 SRI LANKA RUPEE,1.6000,1.4700,1.2700,1.5600,0.7200,2024-11-21
100 SWEDISH KRONER,42.4800,38.6600,38.4600,N/A,N/A,2024-11-21
100 THAILAND BAHT,13.7100,12.1500,11.7500,13.6200,11.5200,2024-11-21
1 US DOLLAR,4.5380,4.4020,4.3920,4.5800,4.3780,2024-11-21
100 ARAB EMIRATES DIRHAM,125.0000,118.4900,118.2900,124.6400,115.9400,2024-11-21
100 QATAR RIYAL,125.8000,119.4200,119.2200,N/A,N/A,2024-11-21
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,14.1600,12.7800,2024-11-21
100 CHINESE RENMINBI,63.0500,60.3700,N/A,N/A,N/A,2024-11-21
