Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9500,2.8280,2.8120,2.9560,2.7460,2024-10-21
1 BRUNEI DOLLAR,3.3340,3.2340,3.2260,3.4440,3.2140,2024-10-21
1 CANADIAN DOLLAR,3.1610,3.0740,3.0620,3.1890,2.9630,2024-10-21
1 EURO,4.7540,4.5980,4.5780,4.7610,4.4450,2024-10-21
1 NEW ZEALAND DOLLAR,2.6650,2.5660,2.5500,2.7770,2.4600,2024-10-21
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-21
1 SINGAPORE DOLLAR,3.3340,3.2340,3.2260,3.4440,3.2140,2024-10-21
1 POUND STERLING,5.7090,5.5230,5.5030,5.8030,5.3380,2024-10-21
1 SWISS FRANC,5.0850,4.8670,4.8520,5.0900,4.6560,2024-10-21
100 BANGLADESH TAKA,3.7330,3.4730,3.2730,N/A,N/A,2024-10-21
100 DANISH KRONER,65.3600,60.1000,59.9000,N/A,N/A,2024-10-21
100 HONGKONG DOLLAR,56.8400,53.9800,53.7800,56.9600,50.5600,2024-10-21
100 INDIAN RUPEE,5.2800,4.9600,4.7600,N/A,N/A,2024-10-21
100 INDONESIAN RUPIAH,0.0292,0.0264,0.0214,0.0305,0.0240,2024-10-21
100 JAPANESE YEN,2.9310,2.8350,2.8250,3.1500,2.6800,2024-10-21
100 NORWEGIAN KRONER,41.0600,37.7300,37.5300,44.6100,28.6800,2024-10-21
100 PAKISTAN RUPEE,1.6000,1.5000,1.3000,2.4300,1.4000,2024-10-21
100 PHILIPPINES PESO,7.7100,7.2600,7.0600,7.7200,7.2500,2024-10-21
100 SAUDI ARABIAN RIYAL,117.5800,111.6200,111.4200,116.6700,103.9000,2024-10-21
100 SOUTH AFRICAN RAND,25.7400,23.2400,23.0400,33.2900,22.8900,2024-10-21
100 SRI LANKA RUPEE,1.5300,1.4100,1.2100,1.5200,0.7200,2024-10-21
100 SWEDISH KRONER,42.8300,38.9800,38.7800,N/A,N/A,2024-10-21
100 THAILAND BAHT,13.7900,12.2200,11.8200,13.7000,11.5900,2024-10-21
1 US DOLLAR,4.3715,4.2345,4.2245,4.5800,4.2130,2024-10-21
100 ARAB EMIRATES DIRHAM,120.3500,114.0500,113.8500,120.0100,113.7000,2024-10-21
100 QATAR RIYAL,121.1300,114.9900,114.7900,N/A,N/A,2024-10-21
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,14.1600,12.5700,2024-10-21
100 CHINESE RENMINBI,61.9400,59.2800,N/A,N/A,N/A,2024-10-21
