Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9410,2.8230,2.8070,2.9480,2.7390,2024-10-25
1 BRUNEI DOLLAR,3.3430,3.2430,3.2350,3.4440,3.2220,2024-10-25
1 CANADIAN DOLLAR,3.1800,3.0940,3.0820,3.2090,2.9810,2024-10-25
1 EURO,4.7800,4.6240,4.6040,4.7870,4.4700,2024-10-25
1 NEW ZEALAND DOLLAR,2.6580,2.5590,2.5430,2.7770,2.4530,2024-10-25
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-25
1 SINGAPORE DOLLAR,3.3430,3.2430,3.2350,3.4440,3.2220,2024-10-25
1 POUND STERLING,5.7270,5.5440,5.5240,5.8210,5.3560,2024-10-25
1 SWISS FRANC,5.1270,4.9080,4.8930,5.1320,4.6950,2024-10-25
100 BANGLADESH TAKA,3.7680,3.5070,3.3070,N/A,N/A,2024-10-25
100 DANISH KRONER,65.6800,60.4200,60.2200,N/A,N/A,2024-10-25
100 HONGKONG DOLLAR,57.3600,54.4900,54.2900,57.4800,50.5600,2024-10-25
100 INDIAN RUPEE,5.3300,5.0000,4.8000,N/A,N/A,2024-10-25
100 INDONESIAN RUPIAH,0.0293,0.0265,0.0215,0.0305,0.0240,2024-10-25
100 JAPANESE YEN,2.9070,2.8120,2.8020,3.1500,2.6600,2024-10-25
100 NORWEGIAN KRONER,41.3900,38.0600,37.8600,44.6100,28.6800,2024-10-25
100 PAKISTAN RUPEE,1.6200,1.5100,1.3100,2.4300,1.4000,2024-10-25
100 PHILIPPINES PESO,7.7300,7.2700,7.0700,7.7300,7.2600,2024-10-25
100 SAUDI ARABIAN RIYAL,118.7000,112.6900,112.4900,117.7600,103.9000,2024-10-25
100 SOUTH AFRICAN RAND,25.8700,23.3600,23.1600,33.2900,23.0100,2024-10-25
100 SRI LANKA RUPEE,1.5400,1.4200,1.2200,1.5200,0.7200,2024-10-25
100 SWEDISH KRONER,43.0400,39.1800,38.9800,N/A,N/A,2024-10-25
100 THAILAND BAHT,13.6800,12.1300,11.7300,13.5900,11.5000,2024-10-25
1 US DOLLAR,4.4120,4.2760,4.2660,4.5800,4.2540,2024-10-25
100 ARAB EMIRATES DIRHAM,121.4900,115.1500,114.9500,121.1500,114.7900,2024-10-25
100 QATAR RIYAL,122.2800,116.0900,115.8900,N/A,N/A,2024-10-25
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,14.1600,12.6800,2024-10-25
100 CHINESE RENMINBI,62.3700,59.7100,N/A,N/A,N/A,2024-10-25
