Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.8730,2.7570,2.7410,2.9410,2.6760,2025-01-07
1 BRUNEI DOLLAR,3.3530,3.2550,3.2470,3.4440,3.2330,2025-01-07
1 CANADIAN DOLLAR,3.1890,3.1020,3.0900,3.2170,2.9890,2025-01-07
1 EURO,4.7590,4.6040,4.5840,4.7660,4.4510,2025-01-07
1 NEW ZEALAND DOLLAR,2.5920,2.4950,2.4790,2.7770,2.3920,2025-01-07
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2025-01-07
1 SINGAPORE DOLLAR,3.3530,3.2550,3.2470,3.4440,3.2330,2025-01-07
1 POUND STERLING,5.7350,5.5510,5.5310,5.8290,5.3630,2025-01-07
1 SWISS FRANC,5.0900,4.8720,4.8570,5.0960,4.6610,2025-01-07
100 BANGLADESH TAKA,3.8480,3.5820,3.3820,N/A,N/A,2025-01-07
100 DANISH KRONER,65.4100,60.1700,59.9700,N/A,N/A,2025-01-07
100 HONGKONG DOLLAR,59.5300,56.5500,56.3500,59.6500,50.5600,2025-01-07
100 INDIAN RUPEE,5.4300,5.1000,4.9000,N/A,N/A,2025-01-07
100 INDONESIAN RUPIAH,0.0293,0.0265,0.0215,0.0305,0.0240,2025-01-07
100 JAPANESE YEN,2.9000,2.8070,2.7970,3.1500,2.6500,2025-01-07
100 NORWEGIAN KRONER,41.5900,38.2200,38.0200,44.6100,28.6800,2025-01-07
100 PAKISTAN RUPEE,1.6700,1.5700,1.3700,2.4300,1.4000,2025-01-07
100 PHILIPPINES PESO,8.0100,7.5400,7.3400,8.0200,7.5300,2025-01-07
100 SAUDI ARABIAN RIYAL,123.3100,117.0600,116.8600,122.3600,103.9000,2025-01-07
100 SOUTH AFRICAN RAND,25.5300,23.0500,22.8500,33.2900,22.7100,2025-01-07
100 SRI LANKA RUPEE,1.5900,1.4600,1.2600,1.5500,0.7200,2025-01-07
100 SWEDISH KRONER,42.7200,38.9000,38.7000,N/A,N/A,2025-01-07
100 THAILAND BAHT,13.8000,12.2400,11.8400,13.7100,11.6000,2025-01-07
1 US DOLLAR,4.5790,4.4430,4.4330,4.6260,4.4190,2025-01-07
100 ARAB EMIRATES DIRHAM,126.1400,119.5800,119.3800,125.7900,115.9400,2025-01-07
100 QATAR RIYAL,127.0000,120.5600,120.3600,N/A,N/A,2025-01-07
100 NEW TAIWAN DOLLAR,15.0000,N/A,N/A,14.1600,12.7800,2025-01-07
100 CHINESE RENMINBI,62.9600,60.2900,N/A,N/A,N/A,2025-01-07
