Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,3.0120,2.8890,2.8730,3.0190,2.8040,2024-08-27
1 BRUNEI DOLLAR,3.3890,3.2890,3.2810,3.4440,3.2680,2024-08-27
1 CANADIAN DOLLAR,3.2770,3.1870,3.1750,3.3060,3.0720,2024-08-27
1 EURO,4.9440,4.7820,4.7620,4.9520,4.6230,2024-08-27
1 NEW ZEALAND DOLLAR,2.7560,2.6520,2.6360,2.7770,2.5430,2024-08-27
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-08-27
1 SINGAPORE DOLLAR,3.3890,3.2890,3.2810,3.4440,3.2680,2024-08-27
1 POUND STERLING,5.8410,5.6520,5.6320,5.9370,5.4610,2024-08-27
1 SWISS FRANC,5.2560,5.0280,5.0130,5.2610,4.8120,2024-08-27
100 BANGLADESH TAKA,3.7780,3.5150,3.3150,N/A,N/A,2024-08-27
100 DANISH KRONER,67.9300,62.4700,62.2700,N/A,N/A,2024-08-27
100 HONGKONG DOLLAR,57.3200,54.4300,54.2300,57.4300,50.5600,2024-08-27
100 INDIAN RUPEE,5.3600,5.0300,4.8300,N/A,N/A,2024-08-27
100 INDONESIAN RUPIAH,0.0297,0.0268,0.0218,0.0305,0.0240,2024-08-27
100 JAPANESE YEN,3.0610,2.9610,2.9510,3.1500,2.8000,2024-08-27
100 NORWEGIAN KRONER,43.0700,39.5900,39.3900,44.6100,28.6800,2024-08-27
100 PAKISTAN RUPEE,1.6100,1.5100,1.3100,2.4300,1.4000,2024-08-27
100 PHILIPPINES PESO,7.9900,7.5300,7.3300,8.0000,7.5100,2024-08-27
100 SAUDI ARABIAN RIYAL,119.1400,113.1000,112.9000,118.2000,103.9000,2024-08-27
100 SOUTH AFRICAN RAND,25.9000,23.3800,23.1800,33.2900,23.0300,2024-08-27
100 SRI LANKA RUPEE,1.5100,1.3900,1.1900,1.5200,0.7200,2024-08-27
100 SWEDISH KRONER,44.6600,40.6500,40.4500,N/A,N/A,2024-08-27
100 THAILAND BAHT,13.5800,12.0400,11.6400,13.5000,11.4100,2024-08-27
1 US DOLLAR,4.4240,4.2870,4.2770,4.5800,4.2650,2024-08-27
100 ARAB EMIRATES DIRHAM,121.8100,115.4400,115.2400,121.4700,115.0900,2024-08-27
100 QATAR RIYAL,122.5900,116.3800,116.1800,N/A,N/A,2024-08-27
100 NEW TAIWAN DOLLAR,14.9000,N/A,N/A,14.1600,12.7800,2024-08-27
100 CHINESE RENMINBI,62.5200,59.8400,N/A,N/A,N/A,2024-08-27
