Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9290,2.8100,2.7940,2.9410,2.7270,2024-10-29
1 BRUNEI DOLLAR,3.3480,3.2480,3.2400,3.4440,3.2270,2024-10-29
1 CANADIAN DOLLAR,3.1850,3.0990,3.0870,3.2140,2.9860,2024-10-29
1 EURO,4.7980,4.6420,4.6220,4.8050,4.4870,2024-10-29
1 NEW ZEALAND DOLLAR,2.6590,2.5610,2.5450,2.7770,2.4550,2024-10-29
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-29
1 SINGAPORE DOLLAR,3.3480,3.2480,3.2400,3.4440,3.2270,2024-10-29
1 POUND STERLING,5.7540,5.5700,5.5500,5.8480,5.3810,2024-10-29
1 SWISS FRANC,5.1560,4.9360,4.9210,5.1610,4.7220,2024-10-29
100 BANGLADESH TAKA,3.7840,3.5220,3.3220,N/A,N/A,2024-10-29
100 DANISH KRONER,65.9500,60.6600,60.4600,N/A,N/A,2024-10-29
100 HONGKONG DOLLAR,57.6000,54.7100,54.5100,57.7200,50.5600,2024-10-29
100 INDIAN RUPEE,5.3600,5.0300,4.8300,N/A,N/A,2024-10-29
100 INDONESIAN RUPIAH,0.0291,0.0264,0.0214,0.0305,0.0240,2024-10-29
100 JAPANESE YEN,2.8970,2.8030,2.7930,3.1500,2.6500,2024-10-29
100 NORWEGIAN KRONER,41.3800,38.0200,37.8200,44.6100,28.6800,2024-10-29
100 PAKISTAN RUPEE,1.6200,1.5200,1.3200,2.4300,1.4000,2024-10-29
100 PHILIPPINES PESO,7.7200,7.2700,7.0700,7.7200,7.2500,2024-10-29
100 SAUDI ARABIAN RIYAL,119.2500,113.2000,113.0000,118.3600,103.9000,2024-10-29
100 SOUTH AFRICAN RAND,25.9400,23.4200,23.2200,33.2900,23.0700,2024-10-29
100 SRI LANKA RUPEE,1.5500,1.4200,1.2200,1.5200,0.7200,2024-10-29
100 SWEDISH KRONER,42.9200,39.0700,38.8700,N/A,N/A,2024-10-29
100 THAILAND BAHT,13.7000,12.1500,11.7500,13.6100,11.5200,2024-10-29
1 US DOLLAR,4.4310,4.2950,4.2850,4.5800,4.2720,2024-10-29
100 ARAB EMIRATES DIRHAM,122.0200,115.6500,115.4500,121.6700,115.2900,2024-10-29
100 QATAR RIYAL,122.8200,116.5900,116.3900,N/A,N/A,2024-10-29
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,14.1600,12.7300,2024-10-29
100 CHINESE RENMINBI,62.5900,59.9200,N/A,N/A,N/A,2024-10-29
