Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9450,2.8260,2.8100,2.9520,2.7430,2024-09-11
1 BRUNEI DOLLAR,3.3760,3.2770,3.2690,3.4440,3.2550,2024-09-11
1 CANADIAN DOLLAR,3.2320,3.1450,3.1330,3.2610,3.0300,2024-09-11
1 EURO,4.8610,4.7020,4.6820,4.8680,4.5460,2024-09-11
1 NEW ZEALAND DOLLAR,2.7180,2.6170,2.6010,2.7770,2.5090,2024-09-11
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-09-11
1 SINGAPORE DOLLAR,3.3760,3.2770,3.2690,3.4440,3.2550,2024-09-11
1 POUND STERLING,5.7670,5.5830,5.5630,5.8610,5.3930,2024-09-11
1 SWISS FRANC,5.2390,5.0150,5.0000,5.2440,4.7970,2024-09-11
100 BANGLADESH TAKA,3.7630,3.5030,3.3030,N/A,N/A,2024-09-11
100 DANISH KRONER,66.7800,61.4200,61.2200,N/A,N/A,2024-09-11
100 HONGKONG DOLLAR,57.1000,54.2400,54.0400,57.2200,50.5600,2024-09-11
100 INDIAN RUPEE,5.3300,5.0000,4.8000,N/A,N/A,2024-09-11
100 INDONESIAN RUPIAH,0.0295,0.0267,0.0217,0.0305,0.0240,2024-09-11
100 JAPANESE YEN,3.1050,3.0050,2.9950,3.1500,2.8400,2024-09-11
100 NORWEGIAN KRONER,41.7300,38.3500,38.1500,44.6100,28.6800,2024-09-11
100 PAKISTAN RUPEE,1.6100,1.5100,1.3100,2.4300,1.4000,2024-09-11
100 PHILIPPINES PESO,7.9300,7.4700,7.2700,7.9400,7.4600,2024-09-11
100 SAUDI ARABIAN RIYAL,118.6900,112.6800,112.4800,117.7400,103.9000,2024-09-11
100 SOUTH AFRICAN RAND,25.4500,22.9700,22.7700,33.2900,22.6300,2024-09-11
100 SRI LANKA RUPEE,1.5000,1.3800,1.1800,1.5200,0.7200,2024-09-11
100 SWEDISH KRONER,43.8200,39.8500,39.6500,N/A,N/A,2024-09-11
100 THAILAND BAHT,13.6700,12.1200,11.7200,13.5800,11.4900,2024-09-11
1 US DOLLAR,4.4070,4.2710,4.2610,4.5800,4.2490,2024-09-11
100 ARAB EMIRATES DIRHAM,121.3500,115.0100,114.8100,121.0100,114.6500,2024-09-11
100 QATAR RIYAL,122.1800,115.9800,115.7800,N/A,N/A,2024-09-11
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,14.1600,12.6200,2024-09-11
100 CHINESE RENMINBI,62.2800,59.6300,N/A,N/A,N/A,2024-09-11
