Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9740,2.8540,2.8380,2.9800,2.7690,2024-09-05
1 BRUNEI DOLLAR,3.3760,3.2750,3.2670,3.4440,3.2540,2024-09-05
1 CANADIAN DOLLAR,3.2540,3.1660,3.1540,3.2830,3.0510,2024-09-05
1 EURO,4.8830,4.7240,4.7040,4.8900,4.5670,2024-09-05
1 NEW ZEALAND DOLLAR,2.7310,2.6300,2.6140,2.7770,2.5210,2024-09-05
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-09-05
1 SINGAPORE DOLLAR,3.3760,3.2750,3.2670,3.4440,3.2540,2024-09-05
1 POUND STERLING,5.7920,5.6080,5.5880,5.8870,5.4170,2024-09-05
1 SWISS FRANC,5.2330,5.0100,4.9950,5.2380,4.7920,2024-09-05
100 BANGLADESH TAKA,3.7610,3.5000,3.3000,N/A,N/A,2024-09-05
100 DANISH KRONER,67.1000,61.7200,61.5200,N/A,N/A,2024-09-05
100 HONGKONG DOLLAR,57.0800,54.2100,54.0100,57.1900,50.5600,2024-09-05
100 INDIAN RUPEE,5.3300,5.0000,4.8000,N/A,N/A,2024-09-05
100 INDONESIAN RUPIAH,0.0294,0.0266,0.0216,0.0305,0.0240,2024-09-05
100 JAPANESE YEN,3.0680,2.9690,2.9590,3.1500,2.8000,2024-09-05
100 NORWEGIAN KRONER,42.4600,39.0400,38.8400,44.6100,28.6800,2024-09-05
100 PAKISTAN RUPEE,1.6100,1.5100,1.3100,2.4300,1.4000,2024-09-05
100 PHILIPPINES PESO,7.9100,7.4500,7.2500,7.9100,7.4300,2024-09-05
100 SAUDI ARABIAN RIYAL,118.5600,112.5600,112.3600,117.6200,103.9000,2024-09-05
100 SOUTH AFRICAN RAND,25.5300,23.0500,22.8500,33.2900,22.7100,2024-09-05
100 SRI LANKA RUPEE,1.5100,1.3900,1.1900,1.5200,0.7200,2024-09-05
100 SWEDISH KRONER,44.1700,40.2100,40.0100,N/A,N/A,2024-09-05
100 THAILAND BAHT,13.5300,12.0000,11.6000,13.4400,11.3700,2024-09-05
1 US DOLLAR,4.4040,4.2680,4.2580,4.5800,4.2460,2024-09-05
100 ARAB EMIRATES DIRHAM,121.2600,114.9300,114.7300,120.9200,114.5700,2024-09-05
100 QATAR RIYAL,122.0900,115.9000,115.7000,N/A,N/A,2024-09-05
100 NEW TAIWAN DOLLAR,14.7000,N/A,N/A,14.1600,12.6400,2024-09-05
100 CHINESE RENMINBI,62.3200,59.6600,N/A,N/A,N/A,2024-09-05
