Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,3.0180,2.8970,2.8810,3.0250,2.8110,2024-08-02
1 BRUNEI DOLLAR,3.4580,3.3570,3.3490,3.4590,3.2770,2024-08-02
1 CANADIAN DOLLAR,3.3280,3.2380,3.2260,3.3580,3.1170,2024-08-02
1 EURO,4.9970,4.8340,4.8140,4.9790,4.5620,2024-08-02
1 NEW ZEALAND DOLLAR,2.7560,2.6550,2.6390,2.7770,2.5440,2024-08-02
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-08-02
1 SINGAPORE DOLLAR,3.4580,3.3570,3.3490,3.4590,3.2770,2024-08-02
1 POUND STERLING,5.8810,5.6980,5.6780,5.9330,5.3220,2024-08-02
1 SWISS FRANC,5.3270,5.1010,5.0860,5.3430,4.8890,2024-08-02
100 BANGLADESH TAKA,4.0190,3.7400,3.5400,N/A,N/A,2024-08-02
100 DANISH KRONER,68.6500,63.1500,62.9500,N/A,N/A,2024-08-02
100 HONGKONG DOLLAR,59.8100,56.8200,56.6200,59.9300,50.5600,2024-08-02
100 INDIAN RUPEE,5.6100,5.2700,5.0700,N/A,N/A,2024-08-02
100 INDONESIAN RUPIAH,0.0295,0.0267,0.0217,0.0305,0.0240,2024-08-02
100 JAPANESE YEN,3.0930,2.9950,2.9850,3.2600,2.8400,2024-08-02
100 NORWEGIAN KRONER,43.3200,39.8300,39.6300,44.6100,28.6800,2024-08-02
100 PAKISTAN RUPEE,1.6900,1.5800,1.3800,2.4300,1.4000,2024-08-02
100 PHILIPPINES PESO,8.0500,7.5900,7.3900,8.0600,7.5700,2024-08-02
100 SAUDI ARABIAN RIYAL,124.6100,118.3000,118.1000,123.6100,103.9000,2024-08-02
100 SOUTH AFRICAN RAND,26.2200,23.6700,23.4700,33.2900,23.1000,2024-08-02
100 SRI LANKA RUPEE,1.5700,1.4400,1.2400,1.5300,0.7200,2024-08-02
100 SWEDISH KRONER,44.4400,40.4600,40.2600,N/A,N/A,2024-08-02
100 THAILAND BAHT,13.5800,12.0500,11.6500,13.4900,11.4200,2024-08-02
1 US DOLLAR,4.6240,4.4880,4.4780,4.6300,4.4630,2024-08-02
100 ARAB EMIRATES DIRHAM,127.4000,120.7700,120.5700,127.0500,115.9400,2024-08-02
100 QATAR RIYAL,128.2000,121.7000,121.5000,N/A,N/A,2024-08-02
100 NEW TAIWAN DOLLAR,15.1000,N/A,N/A,14.2300,12.7800,2024-08-02
100 CHINESE RENMINBI,64.2800,61.5500,N/A,N/A,N/A,2024-08-02
