Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.8480,2.7340,2.7180,2.9410,2.6530,2025-03-25
1 Brunei Dollar,3.3620,3.2660,3.2580,3.4440,3.2450,2025-03-25
1 Canadian Dollar,3.1420,3.0590,3.0470,3.1710,2.9480,2025-03-25
1 Euro,4.8710,4.7150,4.6950,4.8820,4.5600,2025-03-25
1 New Zealand Dollar,2.5880,2.4940,2.4780,2.7770,2.3910,2025-03-25
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-03-25
1 Singapore Dollar,3.3620,3.2660,3.2580,3.4440,3.2450,2025-03-25
1 Sterling Pound,5.8270,5.6430,5.6230,5.9270,5.4550,2025-03-25
1 Swiss Franc,5.1350,4.9170,4.9020,5.1460,4.7080,2025-03-25
100 Bangladesh Taka,3.7840,3.5250,3.3250,N/A,N/A,2025-03-25
100 Danish Krone,66.9300,61.6100,61.4100,N/A,N/A,2025-03-25
100 Hongkong Dollar,58.5500,55.6500,55.4500,58.7300,50.5600,2025-03-25
100 Indian Rupee,5.3500,5.0200,4.8200,N/A,N/A,2025-03-25
100 Indonesian Rupiah,0.0280,0.0253,0.0203,0.0305,0.0230,2025-03-25
100 Japanese Yen,2.9940,2.8990,2.8890,3.1500,2.7400,2025-03-25
100 Norwegian Krone,43.9500,40.4400,40.2400,44.6100,28.6800,2025-03-25
100 Pakistan Rupee,1.6400,1.5300,1.3300,2.4300,1.4000,2025-03-25
100 Philippine Peso,7.9700,7.5100,7.3100,8.0000,7.5100,2025-03-25
100 Saudi Riyal,121.4100,115.2600,115.0600,120.5300,103.9000,2025-03-25
100 South Africa Rand,25.5700,23.1000,22.9000,33.2900,22.7700,2025-03-25
100 Sri Lanka Rupee,1.5600,1.4300,1.2300,1.5200,0.7200,2025-03-25
100 Swedish Krona,46.0200,41.9300,41.7300,N/A,N/A,2025-03-25
100 Thai Baht,13.8200,12.2600,11.8600,13.7700,11.6500,2025-03-25
1 US Dollar,4.5040,4.3710,4.3610,4.5800,4.3510,2025-03-25
100 UAE Dirham,124.0500,117.6700,117.4700,123.8400,115.9400,2025-03-25
100 Qatar Riyal,124.9400,118.6100,118.4100,N/A,N/A,2025-03-25
100 New Taiwan Dollar,14.7000,N/A,N/A,14.1600,12.5900,2025-03-25
100 Chinese Renminbi,62.4200,59.8100,59.8100,N/A,N/A,2025-03-25
