Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9280,2.8110,2.7950,2.9410,2.7270,2024-10-02
1 BRUNEI DOLLAR,3.2840,3.1890,3.1810,3.4440,3.1670,2024-10-02
1 CANADIAN DOLLAR,3.1330,3.0490,3.0370,3.1700,2.9380,2024-10-02
1 EURO,4.6900,4.5390,4.5190,4.6970,4.3870,2024-10-02
1 NEW ZEALAND DOLLAR,2.6710,2.5720,2.5560,2.7770,2.4650,2024-10-02
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-02
1 SINGAPORE DOLLAR,3.2840,3.1890,3.1810,3.4440,3.1670,2024-10-02
1 POUND STERLING,5.6280,5.4500,5.4300,5.7200,5.2640,2024-10-02
1 SWISS FRANC,5.0370,4.8230,4.8080,5.0420,4.6130,2024-10-02
100 BANGLADESH TAKA,3.6150,3.3650,3.1650,N/A,N/A,2024-10-02
100 DANISH KRONER,64.4600,59.3100,59.1100,N/A,N/A,2024-10-02
100 HONGKONG DOLLAR,55.0400,52.2900,52.0900,55.1400,50.5600,2024-10-02
100 INDIAN RUPEE,5.1300,4.8100,4.6100,N/A,N/A,2024-10-02
100 INDONESIAN RUPIAH,0.0288,0.0261,0.0211,0.0305,0.0230,2024-10-02
100 JAPANESE YEN,2.9500,2.8550,2.8450,3.1500,2.7000,2024-10-02
100 NORWEGIAN KRONER,40.9300,37.6400,37.4400,44.6100,28.6800,2024-10-02
100 PAKISTAN RUPEE,1.5500,1.4500,1.2500,2.4300,1.4000,2024-10-02
100 PHILIPPINES PESO,7.6400,7.2000,7.0000,7.6500,7.1900,2024-10-02
100 SAUDI ARABIAN RIYAL,114.0300,108.2500,108.0500,113.7900,103.9000,2024-10-02
100 SOUTH AFRICAN RAND,25.2200,22.7600,22.5600,33.2900,22.4300,2024-10-02
100 SRI LANKA RUPEE,1.4700,1.3500,1.1500,1.5200,0.7200,2024-10-02
100 SWEDISH KRONER,42.5000,38.6900,38.4900,N/A,N/A,2024-10-02
100 THAILAND BAHT,13.6000,12.0600,11.6600,13.5100,11.4300,2024-10-02
1 US DOLLAR,4.2350,4.1010,4.0910,4.5800,4.0790,2024-10-02
100 ARAB EMIRATES DIRHAM,116.5400,110.5000,110.3000,116.2200,110.1300,2024-10-02
100 QATAR RIYAL,117.3600,111.4200,111.2200,N/A,N/A,2024-10-02
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,14.1600,12.2400,2024-10-02
100 CHINESE RENMINBI,N/A,N/A,N/A,N/A,N/A,2024-10-02
