Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.8980,2.7800,2.7640,2.9410,2.6980,2024-09-27
1 BRUNEI DOLLAR,3.2570,3.1610,3.1530,3.4440,3.1400,2024-09-27
1 CANADIAN DOLLAR,3.1000,3.0160,3.0040,3.1700,2.9060,2024-09-27
1 EURO,4.6810,4.5280,4.5080,4.6880,4.3770,2024-09-27
1 NEW ZEALAND DOLLAR,2.6560,2.5570,2.5410,2.7770,2.4520,2024-09-27
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-09-27
1 SINGAPORE DOLLAR,3.2570,3.1610,3.1530,3.4440,3.1400,2024-09-27
1 POUND STERLING,5.6160,5.4360,5.4160,5.7080,5.2520,2024-09-27
1 SWISS FRANC,4.9760,4.7620,4.7470,4.9810,4.5560,2024-09-27
100 BANGLADESH TAKA,3.5760,3.3270,3.1270,N/A,N/A,2024-09-27
100 DANISH KRONER,64.3600,59.1800,58.9800,N/A,N/A,2024-09-27
100 HONGKONG DOLLAR,54.3700,51.6400,51.4400,54.4800,50.5600,2024-09-27
100 INDIAN RUPEE,5.0900,4.7700,4.5700,N/A,N/A,2024-09-27
100 INDONESIAN RUPIAH,0.0286,0.0258,0.0208,0.0305,0.0230,2024-09-27
100 JAPANESE YEN,2.8880,2.7930,2.7830,3.1500,2.6400,2024-09-27
100 NORWEGIAN KRONER,40.7000,37.4200,37.2200,44.6100,28.6800,2024-09-27
100 PAKISTAN RUPEE,1.5300,1.4400,1.2400,2.4300,1.3800,2024-09-27
100 PHILIPPINES PESO,7.6000,7.1500,6.9500,7.6100,7.1400,2024-09-27
100 SAUDI ARABIAN RIYAL,112.7900,107.0700,106.8700,113.7900,102.9000,2024-09-27
100 SOUTH AFRICAN RAND,25.2100,22.7600,22.5600,33.2900,22.4200,2024-09-27
100 SRI LANKA RUPEE,1.4300,1.3200,1.1200,1.5200,0.7200,2024-09-27
100 SWEDISH KRONER,42.6000,38.7700,38.5700,N/A,N/A,2024-09-27
100 THAILAND BAHT,13.4800,11.9500,11.5500,13.3900,11.3300,2024-09-27
1 US DOLLAR,4.1900,4.0540,4.0440,4.5800,4.0340,2024-09-27
100 ARAB EMIRATES DIRHAM,115.2900,109.2500,109.0500,114.9700,108.9200,2024-09-27
100 QATAR RIYAL,116.0700,110.1900,109.9900,N/A,N/A,2024-09-27
100 NEW TAIWAN DOLLAR,14.3000,N/A,N/A,14.1600,12.1700,2024-09-27
100 CHINESE RENMINBI,60.1000,57.5300,N/A,N/A,N/A,2024-09-27
