Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 Australian Dollar,2.7980,2.6840,2.6680,2.9410,2.6250,2025-02-03
1 Brunei Dollar,3.3370,3.2380,3.2300,3.4440,3.2170,2025-02-03
1 Canadian Dollar,3.1050,3.0210,3.0090,3.1700,2.9110,2025-02-03
1 Euro,4.6830,4.5300,4.5100,4.6900,4.3800,2025-02-03
1 New Zealand Dollar,2.5540,2.4590,2.4430,2.7770,2.3570,2025-02-03
1 Papua N Guinea Kina,N/A,N/A,N/A,N/A,N/A,2025-02-03
1 Singapore Dollar,3.3370,3.2380,3.2300,3.4440,3.2170,2025-02-03
1 Sterling Pound,5.6050,5.4280,5.4080,5.7170,5.2600,2025-02-03
1 Swiss Franc,5.0160,4.8040,4.7890,5.0280,4.5990,2025-02-03
100 Bangladesh Taka,3.8390,3.5740,3.3740,N/A,N/A,2025-02-03
100 Danish Krone,64.3400,59.1900,58.9900,N/A,N/A,2025-02-03
100 Hongkong Dollar,59.2400,56.2800,56.0800,59.3600,50.5600,2025-02-03
100 Indian Rupee,5.3700,5.0400,4.8400,N/A,N/A,2025-02-03
100 Indonesian Rupiah,0.0287,0.0260,0.0210,0.0305,0.0230,2025-02-03
100 Japanese Yen,2.9400,2.8450,2.8350,3.1500,2.6900,2025-02-03
100 Norwegian Krone,40.9300,37.6400,37.4400,44.6100,28.6800,2025-02-03
100 Pakistan Rupee,1.6700,1.5600,1.3600,2.4300,1.4000,2025-02-03
100 Philippine Peso,7.9400,7.4800,7.2800,7.9500,7.4600,2025-02-03
100 Saudi Riyal,123.1700,116.9200,116.7200,122.1700,103.9000,2025-02-03
100 South Africa Rand,24.8800,22.4800,22.2800,33.2900,22.2400,2025-02-03
100 Sri Lanka Rupee,1.5700,1.4500,1.2500,1.5400,0.7200,2025-02-03
100 Swedish Krona,41.9700,38.2100,38.0100,N/A,N/A,2025-02-03
100 Thai Baht,14.1300,12.5200,12.1200,14.0400,11.8700,2025-02-03
1 US Dollar,4.5690,4.4330,4.4230,4.6160,4.4090,2025-02-03
100 UAE Dirham,125.8600,119.3200,119.1200,125.5100,115.9400,2025-02-03
100 Qatar Riyal,126.7100,120.2900,120.0900,N/A,N/A,2025-02-03
100 New Taiwan Dollar,14.9000,N/A,N/A,14.1600,12.7500,2025-02-03
100 Chinese Renminbi,N/A,N/A,N/A,N/A,N/A,2025-02-03
