Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9420,2.8220,2.8060,2.9480,2.7390,2024-10-10
1 BRUNEI DOLLAR,3.3310,3.2320,3.2240,3.4440,3.2110,2024-10-10
1 CANADIAN DOLLAR,3.1730,3.0860,3.0740,3.2010,2.9740,2024-10-10
1 EURO,4.7710,4.6150,4.5950,4.7780,4.4620,2024-10-10
1 NEW ZEALAND DOLLAR,2.6530,2.5540,2.5380,2.7770,2.4490,2024-10-10
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-10
1 SINGAPORE DOLLAR,3.3310,3.2320,3.2240,3.4440,3.2110,2024-10-10
1 POUND STERLING,5.6990,5.5170,5.4970,5.7920,5.3300,2024-10-10
1 SWISS FRANC,5.0980,4.8780,4.8630,5.1030,4.6670,2024-10-10
100 BANGLADESH TAKA,3.7200,3.4620,3.2620,N/A,N/A,2024-10-10
100 DANISH KRONER,65.5800,60.3100,60.1100,N/A,N/A,2024-10-10
100 HONGKONG DOLLAR,56.6300,53.7800,53.5800,56.7400,50.5600,2024-10-10
100 INDIAN RUPEE,5.2700,4.9500,4.7500,N/A,N/A,2024-10-10
100 INDONESIAN RUPIAH,0.0288,0.0261,0.0211,0.0305,0.0230,2024-10-10
100 JAPANESE YEN,2.9270,2.8320,2.8220,3.1500,2.6800,2024-10-10
100 NORWEGIAN KRONER,41.4900,38.1400,37.9400,44.6100,28.6800,2024-10-10
100 PAKISTAN RUPEE,1.5900,1.4900,1.2900,2.4300,1.4000,2024-10-10
100 PHILIPPINES PESO,7.7400,7.2800,7.0800,7.7500,7.2700,2024-10-10
100 SAUDI ARABIAN RIYAL,117.2500,111.3000,111.1000,116.3800,103.9000,2024-10-10
100 SOUTH AFRICAN RAND,25.5900,23.1000,22.9000,33.2900,22.7600,2024-10-10
100 SRI LANKA RUPEE,1.5300,1.4000,1.2000,1.5200,0.7200,2024-10-10
100 SWEDISH KRONER,43.2100,39.3400,39.1400,N/A,N/A,2024-10-10
100 THAILAND BAHT,13.5700,12.0300,11.6300,13.4800,11.4000,2024-10-10
1 US DOLLAR,4.3570,4.2210,4.2110,4.5800,4.1990,2024-10-10
100 ARAB EMIRATES DIRHAM,119.9500,113.6800,113.4800,119.6200,113.3300,2024-10-10
100 QATAR RIYAL,120.7400,114.6200,114.4200,N/A,N/A,2024-10-10
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,N/A,N/A,2024-10-10
100 CHINESE RENMINBI,61.9200,59.2700,N/A,N/A,N/A,2024-10-10
