Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9580,2.8400,2.8240,2.9570,2.7460,2024-10-04
1 BRUNEI DOLLAR,3.3130,3.2170,3.2090,3.4440,3.1830,2024-10-04
1 CANADIAN DOLLAR,3.1680,3.0830,3.0710,3.1870,2.9600,2024-10-04
1 EURO,4.7470,4.5930,4.5730,4.7410,4.4260,2024-10-04
1 NEW ZEALAND DOLLAR,2.6800,2.5830,2.5670,2.7770,2.4660,2024-10-04
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-04
1 SINGAPORE DOLLAR,3.3130,3.2170,3.2090,3.4440,3.1830,2024-10-04
1 POUND STERLING,5.6500,5.4720,5.4520,5.7250,5.2650,2024-10-04
1 SWISS FRANC,5.0780,4.8640,4.8490,5.0700,4.6360,2024-10-04
100 BANGLADESH TAKA,3.6710,3.4180,3.2180,N/A,N/A,2024-10-04
100 DANISH KRONER,65.2300,60.0200,59.8200,N/A,N/A,2024-10-04
100 HONGKONG DOLLAR,55.9200,53.1300,52.9300,55.8700,50.5600,2024-10-04
100 INDIAN RUPEE,5.2000,4.8800,4.6800,N/A,N/A,2024-10-04
100 INDONESIAN RUPIAH,0.0286,0.0259,0.0209,0.0305,0.0230,2024-10-04
100 JAPANESE YEN,2.9370,2.8430,2.8330,3.1500,2.6700,2024-10-04
100 NORWEGIAN KRONER,41.6200,38.2800,38.0800,44.6100,28.6800,2024-10-04
100 PAKISTAN RUPEE,1.5700,1.4800,1.2800,2.4300,1.4000,2024-10-04
100 PHILIPPINES PESO,7.7400,7.2900,7.0900,7.7100,7.2400,2024-10-04
100 SAUDI ARABIAN RIYAL,115.7400,109.8800,109.6800,114.4600,103.9000,2024-10-04
100 SOUTH AFRICAN RAND,25.5000,23.0300,22.8300,33.2900,22.5900,2024-10-04
100 SRI LANKA RUPEE,1.5000,1.3800,1.1800,1.5200,0.7200,2024-10-04
100 SWEDISH KRONER,43.0200,39.1700,38.9700,N/A,N/A,2024-10-04
100 THAILAND BAHT,13.5300,12.0000,11.6000,13.4100,11.3300,2024-10-04
1 US DOLLAR,4.3005,4.1665,4.1565,4.5800,4.1290,2024-10-04
100 ARAB EMIRATES DIRHAM,118.3800,112.2300,112.0300,117.7000,111.4700,2024-10-04
100 QATAR RIYAL,119.2100,113.1700,112.9700,N/A,N/A,2024-10-04
100 NEW TAIWAN DOLLAR,14.5000,N/A,N/A,14.1600,12.3200,2024-10-04
100 CHINESE RENMINBI,N/A,N/A,N/A,N/A,N/A,2024-10-04
