Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,3.1270,3.0030,2.9870,3.1350,2.8850,2024-07-25
1 BRUNEI DOLLAR,3.5250,3.4230,3.4150,3.5270,3.2770,2024-07-25
1 CANADIAN DOLLAR,3.4260,3.3340,3.3220,3.4570,3.1170,2024-07-25
1 EURO,5.1420,4.9770,4.9570,5.1240,4.5620,2024-07-25
1 NEW ZEALAND DOLLAR,2.8160,2.7120,2.6960,2.8270,2.5680,2024-07-25
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-07-25
1 SINGAPORE DOLLAR,3.5250,3.4230,3.4150,3.5270,3.2770,2024-07-25
1 POUND STERLING,6.1180,5.9250,5.9050,6.1580,5.3220,2024-07-25
1 SWISS FRANC,5.3920,5.1630,5.1480,5.3980,4.9380,2024-07-25
100 BANGLADESH TAKA,4.1170,3.8330,3.6330,N/A,N/A,2024-07-25
100 DANISH KRONER,70.6300,65.0000,64.8000,N/A,N/A,2024-07-25
100 HONGKONG DOLLAR,61.3400,58.2900,58.0900,61.4600,50.5600,2024-07-25
100 INDIAN RUPEE,5.7500,5.4000,5.2000,N/A,N/A,2024-07-25
100 INDONESIAN RUPIAH,0.0302,0.0274,0.0224,0.0305,0.0240,2024-07-25
100 JAPANESE YEN,3.0980,2.9990,2.9890,3.2600,2.8300,2024-07-25
100 NORWEGIAN KRONER,44.0900,40.5500,40.3500,44.6100,28.6800,2024-07-25
100 PAKISTAN RUPEE,1.7300,1.6200,1.4200,2.4300,1.4000,2024-07-25
100 PHILIPPINES PESO,8.2100,7.7300,7.5300,8.2200,7.6500,2024-07-25
100 SAUDI ARABIAN RIYAL,127.7200,121.2500,121.0500,126.6700,103.9000,2024-07-25
100 SOUTH AFRICAN RAND,26.7500,24.1600,23.9600,33.2900,23.1000,2024-07-25
100 SRI LANKA RUPEE,1.6000,1.4700,1.2700,1.5600,0.7200,2024-07-25
100 SWEDISH KRONER,45.3400,41.2900,41.0900,N/A,N/A,2024-07-25
100 THAILAND BAHT,13.7100,12.1700,11.7700,13.6200,11.5300,2024-07-25
1 US DOLLAR,4.7360,4.6010,4.5910,4.7440,4.5750,2024-07-25
100 ARAB EMIRATES DIRHAM,130.5200,123.7800,123.5800,130.1500,115.9400,2024-07-25
100 QATAR RIYAL,131.3900,124.7300,124.5300,N/A,N/A,2024-07-25
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,14.5900,12.7800,2024-07-25
100 CHINESE RENMINBI,65.6900,62.9200,N/A,N/A,N/A,2024-07-25
