Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,3.0100,2.8870,2.8710,3.0170,2.8020,2024-08-22
1 BRUNEI DOLLAR,3.3970,3.2960,3.2880,3.4440,3.2750,2024-08-22
1 CANADIAN DOLLAR,3.2610,3.1730,3.1610,3.2900,3.0580,2024-08-22
1 EURO,4.9530,4.7910,4.7710,4.9600,4.6320,2024-08-22
1 NEW ZEALAND DOLLAR,2.7420,2.6410,2.6250,2.7770,2.5310,2024-08-22
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-08-22
1 SINGAPORE DOLLAR,3.3970,3.2960,3.2880,3.4440,3.2750,2024-08-22
1 POUND STERLING,5.8130,5.6280,5.6080,5.9090,5.4370,2024-08-22
1 SWISS FRANC,5.2450,5.0210,5.0060,5.2500,4.8030,2024-08-22
100 BANGLADESH TAKA,3.7970,3.5340,3.3340,N/A,N/A,2024-08-22
100 DANISH KRONER,68.0400,62.5800,62.3800,N/A,N/A,2024-08-22
100 HONGKONG DOLLAR,57.5300,54.6400,54.4400,57.6400,50.5600,2024-08-22
100 INDIAN RUPEE,5.3700,5.0400,4.8400,N/A,N/A,2024-08-22
100 INDONESIAN RUPIAH,0.0296,0.0268,0.0218,0.0305,0.0240,2024-08-22
100 JAPANESE YEN,3.0560,2.9570,2.9470,3.1500,2.7900,2024-08-22
100 NORWEGIAN KRONER,43.3600,39.8700,39.6700,44.6100,28.6800,2024-08-22
100 PAKISTAN RUPEE,1.6200,1.5200,1.3200,2.4300,1.4000,2024-08-22
100 PHILIPPINES PESO,7.9700,7.5000,7.3000,7.9700,7.4900,2024-08-22
100 SAUDI ARABIAN RIYAL,119.5100,113.4500,113.2500,118.5500,103.9000,2024-08-22
100 SOUTH AFRICAN RAND,25.7800,23.2700,23.0700,33.2900,22.9200,2024-08-22
100 SRI LANKA RUPEE,1.5200,1.3900,1.1900,1.5200,0.7200,2024-08-22
100 SWEDISH KRONER,44.9300,40.8600,40.6600,N/A,N/A,2024-08-22
100 THAILAND BAHT,13.5300,12.0000,11.6000,13.4400,11.3700,2024-08-22
1 US DOLLAR,4.4370,4.3010,4.2910,4.5800,4.2780,2024-08-22
100 ARAB EMIRATES DIRHAM,122.1900,115.8000,115.6000,121.8400,115.4400,2024-08-22
100 QATAR RIYAL,122.9700,116.7400,116.5400,N/A,N/A,2024-08-22
100 NEW TAIWAN DOLLAR,N/A,N/A,N/A,14.1600,12.7800,2024-08-22
100 CHINESE RENMINBI,62.5900,59.9300,N/A,N/A,N/A,2024-08-22
