Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9590,2.8410,2.8250,2.9640,2.7550,2024-10-07
1 BRUNEI DOLLAR,3.3140,3.2180,3.2100,3.4440,3.1940,2024-10-07
1 CANADIAN DOLLAR,3.1810,3.0950,3.0830,3.2090,2.9820,2024-10-07
1 EURO,4.7510,4.5970,4.5770,4.7580,4.4440,2024-10-07
1 NEW ZEALAND DOLLAR,2.6760,2.5780,2.5620,2.7770,2.4700,2024-10-07
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-10-07
1 SINGAPORE DOLLAR,3.3140,3.2180,3.2100,3.4440,3.1940,2024-10-07
1 POUND STERLING,5.6840,5.5050,5.4850,5.7760,5.3150,2024-10-07
1 SWISS FRANC,5.0760,4.8610,4.8460,5.0750,4.6440,2024-10-07
100 BANGLADESH TAKA,3.6940,3.4390,3.2390,N/A,N/A,2024-10-07
100 DANISH KRONER,65.3200,60.1100,59.9100,N/A,N/A,2024-10-07
100 HONGKONG DOLLAR,56.2800,53.4800,53.2800,56.3900,50.5600,2024-10-07
100 INDIAN RUPEE,5.2400,4.9200,4.7200,N/A,N/A,2024-10-07
100 INDONESIAN RUPIAH,0.0289,0.0262,0.0212,0.0305,0.0230,2024-10-07
100 JAPANESE YEN,2.9140,2.8210,2.8110,3.1500,2.6600,2024-10-07
100 NORWEGIAN KRONER,41.6500,38.3000,38.1000,44.6100,28.6800,2024-10-07
100 PAKISTAN RUPEE,1.5900,1.4800,1.2800,2.4300,1.4000,2024-10-07
100 PHILIPPINES PESO,7.7900,7.3400,7.1400,7.8000,7.3200,2024-10-07
100 SAUDI ARABIAN RIYAL,116.3900,110.4900,110.2900,115.5100,103.9000,2024-10-07
100 SOUTH AFRICAN RAND,25.6600,23.1700,22.9700,33.2900,22.8000,2024-10-07
100 SRI LANKA RUPEE,1.5100,1.3900,1.1900,1.5200,0.7200,2024-10-07
100 SWEDISH KRONER,43.0200,39.1800,38.9800,N/A,N/A,2024-10-07
100 THAILAND BAHT,13.5000,11.9800,11.5800,13.4400,11.3700,2024-10-07
1 US DOLLAR,4.3270,4.1930,4.1830,4.5800,4.1700,2024-10-07
100 ARAB EMIRATES DIRHAM,119.1100,112.9500,112.7500,118.7700,112.5600,2024-10-07
100 QATAR RIYAL,119.9500,113.8700,113.6700,N/A,N/A,2024-10-07
100 NEW TAIWAN DOLLAR,14.5000,N/A,N/A,14.1600,12.3500,2024-10-07
100 CHINESE RENMINBI,N/A,N/A,N/A,N/A,N/A,2024-10-07
